Date,Value
31/12/2024,18988.2374
30/12/2024,18970.9369
27/12/2024,18929.3051
24/12/2024,19192.6583
23/12/2024,19119.5099
20/12/2024,19301.9851
19/12/2024,19083.4745
18/12/2024,19524.291
17/12/2024,19652.795
13/12/2024,19687.4852
12/12/2024,19688.291
11/12/2024,19840.1461
10/12/2024,19638.8568
9/12/2024,19563.4607
6/12/2024,19209.0009
5/12/2024,18205.5747
4/12/2024,17756.3836
3/12/2024,17360.8697
2/12/2024,17349.2848
29/11/2024,17248.2997
28/11/2024,17304.95
27/11/2024,17343.8165
26/11/2024,17325.3108
25/11/2024,17096.1017
22/11/2024,17202.896
21/11/2024,17209.0932
20/11/2024,16923.8409
19/11/2024,16673.1933
18/11/2024,16660.545
15/11/2024,16637.0915
14/11/2024,16678.6235
13/11/2024,16678.902
12/11/2024,16711.5469
11/11/2024,16815.8611
8/11/2024,16898.5635
7/11/2024,17038.1077
6/11/2024,17031.123
5/11/2024,17112.871
4/11/2024,17008.4435
1/11/2024,16850.1289
31/10/2024,16882.8853
30/10/2024,16944.5107
29/10/2024,16834.0243
28/10/2024,17073.8039
25/10/2024,16852.1353
24/10/2024,16840.1562
23/10/2024,16670.3421
22/10/2024,16720.16
21/10/2024,17012.045
18/10/2024,17204.6176
17/10/2024,17233.75
16/10/2024,17128.9642
15/10/2024,16922.8894
14/10/2024,16856.5312
11/10/2024,16855.2875
10/10/2024,16677.3377
9/10/2024,16685.0199
8/10/2024,16831.6798
7/10/2024,16908.7554
4/10/2024,16923.8346
3/10/2024,16809.7714
2/10/2024,17054.2901
1/10/2024,17225.6843
30/09/2024,17606.739
27/09/2024,17752.6881
26/09/2024,17779.2263
25/09/2024,17564.9707
23/09/2024,17502.7695
20/09/2024,17233.1573
19/09/2024,17238.8941
18/09/2024,17030.1612
17/09/2024,17093.9703
16/09/2024,16911.5145
13/09/2024,16590.6568
12/9/2024,16711.2394
11/9/2024,16475.6369
10/9/2024,17284.7914
9/9/2024,17203.7805
6/9/2024,17189.617
5/9/2024,17289.2414
4/9/2024,17170.0677
3/9/2024,17302.4329
2/9/2024,17473.2857
30/08/2024,17580.5144
29/08/2024,17710.4073
28/08/2024,17697.6018
27/08/2024,17542.0624
26/08/2024,17333.9119
23/08/2024,17012.8242
22/08/2024,16845.1683
21/08/2024,16784.2358
20/08/2024,16587.9182
19/08/2024,16524.9461
16/08/2024,15829.1811
15/08/2024,15638.5088
14/08/2024,15317.5878
13/08/2024,15144.0944
12/8/2024,15084.6772
8/8/2024,15145.671
7/8/2024,15011.7614
6/8/2024,14778.0115
5/8/2024,14729.0042
2/8/2024,15481.7351
1/8/2024,15830.4838
31/07/2024,15931.8551
30/07/2024,15863.0413
29/07/2024,15888.2536
26/07/2024,16311.2227
25/07/2024,16211.837
24/07/2024,16109.2835
23/07/2024,16060.1972
22/07/2024,15797.9369
19/07/2024,15494.3652
18/07/2024,15382.3802
17/07/2024,15203.0172
16/07/2024,15442.2363
15/07/2024,15737.7696
12/7/2024,15584.7953
11/7/2024,15580.748
10/7/2024,15508.8778
9/7/2024,15638.4246
8/7/2024,15937.1485
5/7/2024,15844.704
4/7/2024,15916.1159
3/7/2024,15822.3547
2/7/2024,15567.9378
1/7/2024,16176.3508
28/06/2024,15845.1325
27/06/2024,15551.8359
26/06/2024,17022.5169
25/06/2024,17235.4695
24/06/2024,17345.4104
21/06/2024,17337.9672
20/06/2024,17547.0753
19/06/2024,18233.0516
18/06/2024,17445.2931
14/06/2024,16552.17
13/06/2024,15750.2241
12/6/2024,15588.3533
11/6/2024,15242.9957
10/6/2024,15008.2334
7/6/2024,15001.9948
6/6/2024,14836.5784
5/6/2024,15083.1053
4/6/2024,15368.03
3/6/2024,15366.1955
31/05/2024,14909.8735
30/05/2024,14703.235
28/05/2024,15261.3012
27/05/2024,15324.664
24/05/2024,15469.5233
23/05/2024,15532.192
22/05/2024,15659.4246
21/05/2024,15529.0042
20/05/2024,15552.0213
17/05/2024,15385.6496
16/05/2024,15385.2635
15/05/2024,15386.2322
14/05/2024,15205.2345
13/05/2024,15208.5129
10/5/2024,15085.4658
9/5/2024,14870.8039
8/5/2024,14845.1776
7/5/2024,14781.9375
6/5/2024,14762.9237
3/5/2024,14683.0827
2/5/2024,14590.4808
30/04/2024,14551.6613
29/04/2024,14373.1501
26/04/2024,13978.3915
25/04/2024,13872.9379
24/04/2024,13897.1001
23/04/2024,14058.4512
22/04/2024,14138.2137
19/04/2024,13937.0615
18/04/2024,13840.1923
17/04/2024,13833.4494
16/04/2024,14474.9741
15/04/2024,14687.8918
12/4/2024,14568.9057
11/4/2024,14783.6317
10/4/2024,15052.4152
9/4/2024,15002.3048
8/4/2024,14664.8691
5/4/2024,14597.4924
4/4/2024,14729.6669
3/4/2024,14419.8106
2/4/2024,14646.0484
28/03/2024,14781.7958
27/03/2024,14733.9319
