StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
SLM,-72.153305,-0.4699136,5.0,88.799934
SLM,0.5328812,5.307236,89.99999,78.79226
CFR,74.32323,-331.74356,55.0,33.88434
CFR,60.37231,-17.045822,50.000004,23.324736
OUT,25.850216,493.7213,10.0,54.129246
SLM,-35.056263,-59.20455,10.0,65.887924
CPI,3343.9329,64.24608,5.0,44.239674
AGL,-275.1254,26.501852,15.0,23.009474
MRP,-3.1761236,11.737295,135.0,59.96123
ANG,420.4575,-57.689228,10.0,35.674744
VOD,-1.4481102,32.86893,70.0,97.939
OUT,-5.742379,54.816544,15.0,24.070982
INP,-1.5149068,-22.837603,20.0,113.4589
VOD,-95.40419,62.37599,20.0,26.3977
BVT,-54.415565,54.87104,15.0,23.59252
MNP,-3.7948916,34.775917,185.00002,94.11897
SLM,-0.097337894,54.87104,45.0,23.59252
DSY,-3.3650622,490.809,85.0,60.981453
INP,-18.754326,-35.707897,5.0,61.71217
BTI,60.256954,17.594599,50.000004,68.92802
NED,-19.062437,54.87104,60.0,23.59252
VOD,-0.22647767,3.1873503,190.0,53.84181
DSY,1475.5989,34.141243,5.0,41.562954
ANG,-7.5543647,54.13734,249.99998,30.036377
BTI,-203.02089,52.993107,10.0,168.90051
INP,-0.6467651,-75.63944,200.00002,107.5097
BVT,-115.31419,38.572075,25.0,28.949976
CFR,-75.21831,299.3934,95.0,23.3588
SHC,4.294899,54.87104,85.0,23.59252
BID,20.530886,12.031623,45.0,46.135036
SBK,-3.5860202,-12.912288,100.0,118.403366
ABG,-280.27426,-48.159603,5.0,60.54704
KIO,3.5427501,-34.042652,205.0,98.4652
MTN,-3.035957,-10.423855,110.0,79.2283
DSY,-6.2275543,54.87104,10.0,23.59252
HAR,45.233906,54.87104,20.0,23.59252
AGL,0.75002265,-0.5746674,205.0,58.638683
WHL,1.5210444,52.694748,89.99999,28.319487
VOD,13.1667385,54.87104,30.0,23.59252
OUT,-3.4356756,-56.657593,35.000004,50.24862
MNP,62.90379,3.1765358,35.000004,45.301437
MNP,-48.041702,3.0454874,10.0,82.112274
MTN,-1.7801841,33.34626,65.0,51.66895
ANH,-107.69453,21.842005,60.0,135.67995
REM,10.516723,56.776543,55.0,27.788998
MTN,1.3299854,57.116886,60.0,28.538622
AGL,682.87366,54.87104,15.0,23.59252
WHL,-13.520241,28.405443,25.0,69.592094
NED,62.854595,54.87104,15.0,23.59252
REM,1.8876826,46.966797,205.0,41.30792
TBS,-5.2086434,-31.52432,155.00002,24.402409
MTN,0.182571,12.825546,415.0,58.597614
FSR,48.140503,62.346306,15.0,67.217606
TBS,315.63565,18.457863,10.0,71.69843
MRP,-7.9882236,68.16777,165.0,44.253304
NPN,-532.022,34.37662,10.0,34.31285
DSY,6.269741,-11.174096,85.0,145.46135
BTI,-0.49451166,975.5176,260.0,34.93665
AMS,3532.707,54.87104,10.0,23.59252
REM,372.69382,-420.4257,5.0,57.561615
S32,-2.5189738,42.240578,35.000004,50.23082
SLM,-4.251864,-23.63301,55.0,147.26277
ANG,85.79482,14.245447,45.0,74.10184
AGL,-3938.307,-115.78898,5.0,23.987423
ANG,3.810784,54.87104,249.99998,23.59252
SHC,1.1734909,8.162731,180.0,45.665592
ABG,4.814639,-130.5637,55.0,24.335007
IMP,21.195457,274.8931,35.000004,47.272587
FSR,-511.64694,625.7005,5.0,40.62374
BTI,-698.8606,-251.9199,15.0,89.47676
AMS,75.572426,2495.4553,85.0,18.58068
DSY,-5.4764657,796.0971,35.000004,22.88404
SBK,2.1014311,18.61966,110.0,87.41434
FSR,48.24123,51.570026,15.0,35.78003
BID,-5.798997,-25.322006,85.0,199.08075
MRP,59.683567,18.994144,35.000004,64.3629
REM,0.24851923,17.164133,180.0,48.891727
TBS,-1702.923,54.87104,5.0,23.59252
CFR,520.98145,54.87104,21.0,23.59252
SSW,-47.80399,16.192934,15.0,78.86719
AMS,78.617065,54.87104,45.0,23.59252
INP,-0.89380586,54.87104,70.0,23.59252
NPN,-2097.3281,54.87104,5.0,23.59252
CFR,235.87053,54.87104,55.0,23.59252
KIO,-379.40884,54.87104,15.0,23.59252
VOD,-0.37682265,44.066982,50.000004,83.98385
SLM,-335.3584,36.49905,5.0,50.72989
WHL,-2.8917615,49.026245,120.0,25.227741
GLN,-73.26997,430.16693,15.0,22.396172
INP,-41.925056,54.87104,15.0,23.59252
BTI,-201.55518,102.526375,25.0,81.27836
CLS,-236.23122,54.87104,5.0,23.59252
CFR,-35.19452,54.87104,40.0,23.59252
AGL,-798.6691,-0.7708157,15.0,34.009254
WHL,-0.81789124,-20.259048,155.00002,96.9428
PPH,-1.6892136,24.439432,65.0,92.50102
MNP,-0.66478956,-132.71434,40.0,172.08167
CPI,-719.0261,54.461567,15.0,27.189404
INP,88.74107,54.794067,5.0,24.268291
CLS,-33.30747,54.43188,35.000004,23.873661
WHL,0.9894296,-18.240948,100.0,22.958147
GLN,-40.358837,10.895871,13.000001,46.794712
SHC,37.783028,54.87104,15.0,23.59252
ANG,-21.846684,729.41095,50.000004,21.468987
INP,38.331184,54.87104,10.0,23.59252
BVT,30.14936,54.87104,15.0,23.59252
IMP,1323.1576,458.4722,5.0,35.582817
OUT,3.6899142,9.226385,55.0,53.330315
CPI,-3020.759,-2524.4094,15.0,22.263916
VOD,-0.17855388,-16.536684,35.000004,116.08066
SBK,7.573862,54.87104,110.0,23.59252
MRP,33.31212,-0.47839567,15.0,81.205444
NPN,-1033.8234,-1043.2792,10.0,26.130949
IMP,-2810.0637,54.87104,5.0,23.59252
WHL,1.2436801,-35.647465,89.99999,124.42567
ANG,11.216706,52.705353,125.00001,32.2498
CLS,-71.48662,-21.395435,25.0,114.64802
KIO,-5262.8115,54.87104,5.0,23.59252
TBS,-8.266012,54.87104,155.00002,23.59252
NED,113.79632,30.27426,15.0,28.209799
FSR,3.3625054,116.75297,45.0,23.395256
KIO,-2938.4456,53.24439,5.0,27.704922
CPI,13427.133,54.87104,5.0,23.59252
INP,562.6697,784.68384,5.0,22.89495
PPH,-19.712166,31.381384,10.0,37.602474
CLS,57.906143,19.433727,15.0,38.245823
IMP,-12.737981,54.87104,65.0,23.59252
AMS,-154.81781,6094.011,20.0,7.685856
BID,-93.46285,216.9578,10.0,59.00965
