StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
SLM,-72.153305,916.11536,5.0,57.739826
SLM,0.5328812,654.19305,89.99999,72.51647
CFR,74.32323,270.47903,55.0,42.5716
CFR,60.37231,933.89764,50.000004,54.999187
OUT,25.850216,462.1934,10.0,83.09579
SLM,-35.056263,902.58636,10.0,65.95373
CPI,3343.9329,824.5505,5.0,54.402325
AGL,-275.1254,722.5213,15.0,34.004955
MRP,-3.1761236,552.1635,135.0,83.289345
ANG,420.4575,697.77057,10.0,51.01066
VOD,-1.4481102,451.4081,70.0,87.6991
OUT,-5.742379,338.50092,15.0,37.195477
INP,-1.5149068,446.9019,20.0,80.02953
VOD,-95.40419,331.53976,20.0,40.912678
BVT,-54.415565,386.78085,15.0,32.615936
MNP,-3.7948916,386.50708,185.00002,43.912365
SLM,-0.097337894,341.60864,45.0,37.346355
DSY,-3.3650622,864.78125,85.0,60.48595
INP,-18.754326,302.75497,5.0,142.31328
BTI,60.256954,434.3503,50.000004,151.2555
NED,-19.062437,382.00415,60.0,41.18813
VOD,-0.22647767,492.36673,190.0,93.91964
DSY,1475.5989,462.50723,5.0,44.3272
ANG,-7.5543647,857.32935,249.99998,60.436455
BTI,-203.02089,625.302,10.0,64.09825
INP,-0.6467651,431.15573,200.00002,83.03955
BVT,-115.31419,473.8569,25.0,80.96937
CFR,-75.21831,667.778,95.0,50.846947
SHC,4.294899,345.55325,85.0,40.98917
BID,20.530886,506.89993,45.0,134.86728
SBK,-3.5860202,476.34787,100.0,81.05646
ABG,-280.27426,368.5415,5.0,41.11465
KIO,3.5427501,449.7984,205.0,81.9207
MTN,-3.035957,537.9761,110.0,93.003296
DSY,-6.2275543,293.7436,10.0,28.09893
HAR,45.233906,657.8413,20.0,71.46019
AGL,0.75002265,441.48236,205.0,102.90476
WHL,1.5210444,761.161,89.99999,65.97206
VOD,13.1667385,349.5078,30.0,30.80631
OUT,-3.4356756,334.25626,35.000004,36.98936
MNP,62.90379,504.16956,35.000004,80.022385
MNP,-48.041702,461.54303,10.0,81.95861
MTN,-1.7801841,561.3473,65.0,47.566357
ANH,-107.69453,464.83514,60.0,80.0569
REM,10.516723,370.88754,55.0,31.844303
MTN,1.3299854,299.15347,60.0,28.36157
AGL,682.87366,129.58636,15.0,31.48784
WHL,-13.520241,442.90683,25.0,97.396996
NED,62.854595,2686.5215,15.0,27.897726
REM,1.8876826,906.19366,205.0,68.82346
TBS,-5.2086434,483.99704,155.00002,80.10725
MTN,0.182571,468.9303,415.0,80.83627
FSR,48.140503,426.7368,15.0,34.5558
TBS,315.63565,480.97052,10.0,81.183815
MRP,-7.9882236,912.4984,165.0,60.319782
NPN,-532.022,626.76245,10.0,47.923424
DSY,6.269741,466.5903,85.0,97.94707
BTI,-0.49451166,466.50134,260.0,80.08807
AMS,3532.707,348.7529,10.0,38.25604
REM,372.69382,319.3242,5.0,40.846004
S32,-2.5189738,466.03918,35.000004,80.741615
SLM,-4.251864,496.30518,55.0,80.02934
ANG,85.79482,594.9093,45.0,74.12939
AGL,-3938.307,94.28539,5.0,32.232475
ANG,3.810784,538.56104,249.99998,82.87224
SHC,1.1734909,508.28845,180.0,132.27025
ABG,4.814639,379.09482,55.0,32.24276
IMP,21.195457,330.26874,35.000004,36.795788
FSR,-511.64694,318.41248,5.0,40.841026
BTI,-698.8606,325.13654,15.0,36.546604
AMS,75.572426,10766.763,85.0,27.866348
DSY,-5.4764657,312.45572,35.000004,29.007397
SBK,2.1014311,435.6086,110.0,92.91202
FSR,48.24123,414.32336,15.0,33.953117
BID,-5.798997,478.4649,85.0,81.096436
MRP,59.683567,476.14145,35.000004,81.05257
REM,0.24851923,455.07904,180.0,80.414474
TBS,-1702.923,449.6201,5.0,44.256866
CFR,520.98145,3917.6616,21.0,63.688923
SSW,-47.80399,504.65005,15.0,80.03139
AMS,78.617065,594.8138,45.0,76.72129
INP,-0.89380586,450.11618,70.0,35.690845
NPN,-2097.3281,-143.91685,5.0,97.76432
CFR,235.87053,-1322.2711,55.0,39.959557
KIO,-379.40884,376.4904,15.0,32.11631
VOD,-0.37682265,463.39404,50.000004,99.348015
SLM,-335.3584,820.99005,5.0,54.382896
WHL,-2.8917615,652.1472,120.0,71.42238
GLN,-73.26997,351.59015,15.0,30.907408
INP,-41.925056,388.82025,15.0,32.71493
BTI,-201.55518,622.70056,25.0,91.224846
CLS,-236.23122,315.0152,5.0,40.822475
CFR,-35.19452,-5750.593,40.0,2.3607297
AGL,-798.6691,89.13931,15.0,32.34103
WHL,-0.81789124,436.86703,155.00002,101.17232
PPH,-1.6892136,655.2684,65.0,71.44311
MNP,-0.66478956,471.77148,40.0,80.03258
CPI,-719.0261,777.93304,15.0,51.448223
INP,88.74107,710.6331,5.0,42.63009
CLS,-33.30747,595.2413,35.000004,54.143917
WHL,0.9894296,378.55725,100.0,32.216656
GLN,-40.358837,505.0994,13.000001,80.03979
SHC,37.783028,576.93463,15.0,47.651447
ANG,-21.846684,323.16605,50.000004,43.56662
INP,38.331184,358.88962,10.0,31.261793
BVT,30.14936,359.47086,15.0,31.290014
IMP,1323.1576,1177.2533,5.0,60.79811
OUT,3.6899142,484.87006,55.0,93.20456
CPI,-3020.759,-576.13245,15.0,9.781829
VOD,-0.17855388,484.45517,35.000004,81.28968
SBK,7.573862,794.83234,110.0,38.042244
MRP,33.31212,701.712,15.0,68.664406
NPN,-1033.8234,308.7398,10.0,28.826992
IMP,-2810.0637,379.08612,5.0,41.172207
WHL,1.2436801,455.53018,89.99999,80.036896
ANG,11.216706,476.6471,125.00001,80.12382
CLS,-71.48662,448.6846,25.0,120.85937
KIO,-5262.8115,477.93298,5.0,41.711758
TBS,-8.266012,762.881,155.00002,65.98348
NED,113.79632,281.78217,15.0,87.537186
FSR,3.3625054,318.44788,45.0,40.84122
KIO,-2938.4456,527.783,5.0,79.449844
CPI,13427.133,2071.706,5.0,36.08101
INP,562.6697,375.23557,5.0,32.0554
PPH,-19.712166,338.35556,10.0,37.18839
CLS,57.906143,785.93677,15.0,36.36124
IMP,-12.737981,317.46545,65.0,36.174164
AMS,-154.81781,-20.352139,20.0,42.841103
BID,-93.46285,355.40286,10.0,38.016056
NPN,-2436.747,844.3538,5.0,66.79798
AMS,-81.16913,512.26794,40.0,44.59882
SBK,-907.1745,318.00024,5.0,40.83877
AGL,-130.36841,403.8078,15.0,33.44258
NRP,2.543136,463.06726,60.0,80.02381
CFR,238.37231,475.27585,35.000004,157.46057
IMP,57.40952,821.9553,10.0,54.38816
NPN,156.28436,576.2499,20.0,39.54876
AGL,-4613.339,550.8147,5.0,44.809223
ABG,50.533512,815.4905,10.0,63.24573
BVT,-53.413406,324.77127,25.0,40.875732
TBS,-0.8348554,924.37213,65.0,57.79456
FSR,-438.0712,823.9132,5.0,54.39885
MRP,-34.006603,466.58267,45.0,39.89597
BVT,-0.13614345,505.56635,300.0,80.04854
NRP,0.70740014,442.57657,185.00002,80.0582
NED,-0.34967998,548.1407,475.0,90.84623
KIO,4.886101,451.0632,200.00002,81.735565
CLS,505.95038,832.7178,5.0,54.446915
NED,-51.33148,409.0916,15.0,33.699112
SHC,-17.501097,692.61145,20.0,62.79181
SHC,2.34826,430.9898,15.0,34.76227
IMP,1952.181,870.0465,5.0,60.520912
ABG,80.045456,863.15564,15.0,60.475147
KIO,17.984138,656.6014,45.0,71.45196
SBK,10.723897,449.7986,60.0,80.2747
NPN,-17.796911,51.777836,215.00002,38.271416
MTN,-94.56956,601.76666,15.0,74.174934
BVT,10.202461,354.4942,45.0,41.037968
MRP,1268.8021,319.87668,5.0,40.849014
OUT,68.61436,334.7775,5.0,40.930344
CLS,95.950005,813.23474,15.0,38.103878
BTI,23.746656,653.8432,100.0,39.97231
CPI,-1675.8126,-3359.5745,15.0,56.918175
HAR,-3.377361,655.5096,150.0,71.444695
MNP,8.562874,487.32986,85.0,80.0155
GLN,-13.69582,345.7513,40.0,30.623938
ANG,15.407281,1529.1434,40.0,35.944492
AGL,54.794067,318.83002,60.0,36.240444
VOD,7.468048,363.7382,20.0,31.4972
NRP,2.3879137,369.6395,110.0,41.120647
MNP,-197.09084,663.0624,15.0,71.494865
SLM,21.002066,398.98105,15.0,33.208252
NPN,166.4546,1155.4673,60.0,30.68493
KIO,-440.09564,2835.9646,20.0,38.564823
KIO,-213.27296,4863.757,5.0,19.390308
BTI,-235.91357,256.7795,5.0,40.151394
REM,8.961532,310.8155,85.0,51.82957
INP,451.4979,704.9502,5.0,68.685905
NED,355.8855,728.8904,5.0,34.07393
SHC,-81.67106,301.69492,5.0,40.74978
CLS,105.38802,347.65933,15.0,37.6401
CPI,1707.9131,-13020.282,15.0,-57.562767
CFR,-26473.271,4933.966,5.0,36.19064
AGL,19.426731,675.83405,74.99999,33.53479
MRP,113.18095,232.22842,15.0,29.322762
VOD,0.9561374,496.08295,270.0,80.025185
MTN,3.5724373,453.89877,160.0,35.874496
NPN,6959.07,756.90204,10.0,65.94379
FSR,-0.7985945,745.9611,255.0,76.2489
KIO,54.153667,866.342,80.0,60.496315
GLN,-1.4718602,441.58636,155.00002,83.358215
WHL,-0.2652832,443.33646,120.0,94.938644
SSW,-585.8387,343.66302,5.0,40.978855
MNP,5.9741406,552.4424,65.0,83.29459
SBK,116.23471,497.2751,20.0,80.0475
SSW,-0.638071,505.01947,110.0,80.0383
KIO,3.0783556,449.69653,140.00002,80.23271
SSW,-9.785578,811.2703,25.0,63.21772
BID,-306.84332,550.36005,10.0,47.50639
SHC,0.857321,444.3155,340.0,80.091034
AMS,-2996.9443,257.17285,10.0,38.276722
PPH,0.30110818,824.15607,200.00002,115.12762
MNP,-0.5049022,326.327,190.0,36.604393
NPN,-7.3985066,402.92206,70.0,44.001965
KIO,11.193805,499.24475,175.0,79.93024
MTN,-15.633342,599.1844,55.0,74.15778
REM,7.681585,374.8999,15.0,32.03909
WHL,2.6584923,313.82513,125.00001,40.81598
CPI,-14961.79,362.27283,5.0,34.04336
AMS,-1066.2262,506.9835,15.0,80.383286
CLS,-2067.657,317.34268,5.0,36.168224
AMS,-10174.759,-2304.0376,5.0,23.830034
MRP,-2.2706609,451.8884,55.0,80.31416
OUT,-0.5466765,516.13586,225.0,79.361176
