,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,0
AGL.JO,0.0967741935483871,0.03225806451612903,0.0,0.00019806645531246744,0.0,1
AMS.JO,0.03225806451612903,0.06451612903225806,0.0,4.854569983148715e-07,0.0,1
APN.JO,0.03225806451612903,0.06451612903225806,0.0,4.854569983148715e-07,0.0,4
BTI.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.0,17
BVT.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,5
CLS.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,6
CPI.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,7
DSY.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539125e-05,0.0,3
EXX.JO,0.03225806451612903,0.06451612903225806,0.0,4.854569983148715e-07,0.0,1
FSR.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539125e-05,0.0,10
GFI.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,11
GLN.JO,0.06451612903225806,0.06451612903225806,0.0,9.927595615539125e-05,0.5,9
GRT.JO,0.03225806451612903,0.06451612903225806,0.0,4.854569983148715e-07,0.0,13
HAR.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539122e-05,0.0,13
IMP.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539125e-05,0.0,3
INL.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.0,16
INP.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539122e-05,0.0,17
KIO.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.0,10
MNP.JO,0.12903225806451613,0.03225806451612903,0.0,0.70711866625556,0.0,2
MRP.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.0,3
MTN.JO,0.0967741935483871,0.03225806451612903,0.0,0.00019806645531246758,0.0,4
NED.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.5,9
NPN.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,8
NRP.JO,0.03225806451612903,0.0967741935483871,0.0,4.854569983148715e-07,0.0,14
REM.JO,0.0967741935483871,0.03225806451612903,0.0,0.00019806645531246752,0.0,16
RLO.JO,0.12903225806451613,0.0967741935483871,0.0064516129032258064,0.010324092618912796,0.05,9
SBK.JO,0.06451612903225806,0.03225806451612903,0.0,0.7070193902994043,0.0,9
SHP.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,12
SLM.JO,0.06451612903225806,0.03225806451612903,0.0,9.927595615539122e-05,0.0,14
SOL.JO,0.0,0.03225806451612903,0.0,1.46873191146968e-129,0.0,2
VOD.JO,0.03225806451612903,0.03225806451612903,0.0,4.854569983148715e-07,0.0,15
