,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.16129032258064516,0.0967741935483871,0.008602150537634409,0.14906810198588355,0.13333333333333333,0
AGL.JO,0.06451612903225806,0.03225806451612903,0.0,4.958149293513497e-07,0.0,1
AMS.JO,0.03225806451612903,0.25806451612903225,0.0,1.9972404002068466e-09,0.07142857142857142,2
APN.JO,0.0967741935483871,0.03225806451612903,0.0,8.787857760910124e-08,0.0,3
BTI.JO,0.0967741935483871,0.1935483870967742,0.007526881720430107,0.14906801610454634,0.175,10
BVT.JO,0.03225806451612903,0.3548387096774194,0.0,1.9972404002068466e-09,0.044444444444444446,14
CLS.JO,0.0967741935483871,0.03225806451612903,0.0,5.387555979557966e-07,0.5,5
CPI.JO,0.0967741935483871,0.0967741935483871,0.0016129032258064516,0.14906846698156667,0.25,7
DSY.JO,0.1935483870967742,0.06451612903225806,0.001075268817204301,0.2981396050225135,0.2,8
EXX.JO,0.06451612903225806,0.16129032258064516,0.001075268817204301,4.493790900465406e-08,0.25,15
FSR.JO,0.0967741935483871,0.12903225806451613,0.00967741935483871,0.14906801610454637,0.2,8
GFI.JO,0.12903225806451613,0.06451612903225806,0.002150537634408602,0.29813598727118373,0.4166666666666667,11
GLN.JO,0.12903225806451613,0.03225806451612903,0.0,0.14906805904521495,0.0,12
GRT.JO,0.0967741935483871,0.03225806451612903,0.0,0.14906846698156667,0.0,13
HAR.JO,0.16129032258064516,0.03225806451612903,0.0,1.9772679962047783e-06,0.16666666666666666,14
IMP.JO,0.22580645161290322,0.03225806451612903,0.0,0.5963019558669799,0.26666666666666666,15
INL.JO,0.12903225806451613,0.03225806451612903,0.0,1.3081924621354843e-07,0.0,16
INP.JO,0.16129032258064516,0.03225806451612903,0.0,0.1490685528629039,0.08333333333333333,17
KIO.JO,0.06451612903225806,0.12903225806451613,0.001075268817204301,4.493790900465405e-08,0.16666666666666666,11
MNP.JO,0.12903225806451613,0.03225806451612903,0.0,0.29814214925712845,0.16666666666666666,2
MRP.JO,0.12903225806451613,0.06451612903225806,0.0005376344086021505,1.032573286906939e-06,0.3333333333333333,15
MTN.JO,0.16129032258064516,0.03225806451612903,0.0,0.2981360302118523,0.16666666666666666,11
NED.JO,0.06451612903225806,0.16129032258064516,0.002688172043010753,4.493790900465406e-08,0.05,18
NPN.JO,0.03225806451612903,0.0967741935483871,0.0,1.9972404002068466e-09,0.0,3
NRP.JO,0.16129032258064516,0.03225806451612903,0.0,0.14906900373992427,0.16666666666666666,4
REM.JO,0.03225806451612903,0.29032258064516125,0.0,1.9972404002068466e-09,0.14285714285714285,10
RLO.JO,0.0967741935483871,0.06451612903225806,0.0005376344086021505,8.787857760910125e-08,0.16666666666666666,14
SBK.JO,0.03225806451612903,0.03225806451612903,0.0,1.9972404002068466e-09,0.0,6
SHP.JO,0.16129032258064516,0.06451612903225806,0.0064516129032258064,0.298136931965893,0.2,9
SLM.JO,0.0967741935483871,0.1935483870967742,0.008602150537634409,0.14906801610454634,0.175,10
SOL.JO,0.06451612903225806,0.06451612903225806,0.0,4.493790900465405e-08,0.5,5
VOD.JO,0.03225806451612903,0.3548387096774194,0.0,1.9972404002068466e-09,0.07777777777777778,8
