,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.0967741935483871,0.03225806451612903,0.0,2.1407702074392776e-06,0.0,0
AGL.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,4
AMS.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,1
APN.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,9
BTI.JO,0.03225806451612903,0.06451612903225806,0.0,5.2213907498518985e-08,0.0,0
BVT.JO,0.03225806451612903,0.03225806451612903,0.0,5.2213907498518985e-08,0.0,5
CLS.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,11
CPI.JO,0.03225806451612903,0.03225806451612903,0.0,5.2213907498518985e-08,0.0,7
DSY.JO,0.06451612903225806,0.0967741935483871,0.001075268817204301,1.0964920574688987e-06,0.16666666666666666,8
EXX.JO,0.03225806451612903,0.0967741935483871,0.0,5.2213907498518985e-08,0.0,9
FSR.JO,0.03225806451612903,0.03225806451612903,0.0,5.2213907498518985e-08,0.0,10
GFI.JO,0.06451612903225806,0.06451612903225806,0.0,1.0442781499699043e-07,0.5,15
GLN.JO,0.06451612903225806,0.06451612903225806,0.0,0.5773465269859455,0.0,3
GRT.JO,0.03225806451612903,0.0967741935483871,0.0,5.2213907498518985e-08,0.0,13
HAR.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,14
IMP.JO,0.12903225806451613,0.03225806451612903,0.0,3.185048357409659e-06,0.16666666666666666,15
INL.JO,0.0,0.06451612903225806,0.0,4.7488272228764786e-20,0.5,15
INP.JO,0.03225806451612903,0.06451612903225806,0.0,5.2213907498518985e-08,0.0,1
KIO.JO,0.03225806451612903,0.03225806451612903,0.0,5.2213907498518985e-08,0.0,2
MNP.JO,0.06451612903225806,0.0967741935483871,0.001075268817204301,0.5773465269859455,0.0,3
MRP.JO,0.03225806451612903,0.06451612903225806,0.0,5.2213907498518985e-08,0.0,4
MTN.JO,0.03225806451612903,0.12903225806451613,0.0,5.2213907498518985e-08,0.16666666666666666,6
NED.JO,0.0967741935483871,0.03225806451612903,0.0,0.5773577529760577,0.0,8
NPN.JO,0.03225806451612903,0.06451612903225806,0.0,5.2213907498518985e-08,0.0,6
NRP.JO,0.1935483870967742,0.03225806451612903,0.0,2.464496433930092e-05,0.05,6
REM.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,13
RLO.JO,0.03225806451612903,0.06451612903225806,0.0,5.2213907498518985e-08,0.0,0
SBK.JO,0.0,0.03225806451612903,0.0,4.7488272228764786e-20,0.0,6
SHP.JO,0.03225806451612903,0.0967741935483871,0.0,5.2213907498518985e-08,0.0,15
SLM.JO,0.03225806451612903,0.03225806451612903,0.0,5.2213907498518985e-08,0.0,12
SOL.JO,0.06451612903225806,0.06451612903225806,0.001075268817204301,1.0964920574688987e-06,0.0,6
VOD.JO,0.06451612903225806,0.03225806451612903,0.0,1.0964920574688987e-06,0.0,13
