,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,0
AGL.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,1
AMS.JO,0.06451612903225806,0.03225806451612903,0.0,0.35376366393997927,0,2
APN.JO,0.03225806451612903,0.12903225806451613,0.0,0.0008607388417031131,0,3
BTI.JO,0.06451612903225806,0.03225806451612903,0.0,0.0017214776834062271,0,9
BVT.JO,0.03225806451612903,0.06451612903225806,0.0,0.0008607388417031131,0,2
CLS.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,6
CPI.JO,0.0967741935483871,0.03225806451612903,0.0,0.706666589038255,0,3
DSY.JO,0.06451612903225806,0.03225806451612903,0.0,0.35376366393997927,0,3
EXX.JO,0.0,0.0967741935483871,0.0,1.231047914980292e-250,0,7
FSR.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,10
GFI.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,11
GLN.JO,0.03225806451612903,0.0967741935483871,0.0,0.0008607388417031131,0,3
GRT.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,13
HAR.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,14
IMP.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,15
INL.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,16
INP.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,17
KIO.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,18
MNP.JO,0.0,0.03225806451612903,0.0,1.231047914980292e-250,0,19
MRP.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,20
MTN.JO,0.06451612903225806,0.03225806451612903,0.0,0.0017214776834062271,0,19
NED.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,22
NPN.JO,0.06451612903225806,0.03225806451612903,0.0,0.3537636639399792,0,23
NRP.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,24
REM.JO,0.06451612903225806,0.03225806451612903,0.0,0.3537636639399792,0,4
RLO.JO,0.06451612903225806,0.03225806451612903,0.0,0.0017214776834062271,0,7
SBK.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,5
SHP.JO,0.06451612903225806,0.03225806451612903,0.0,0.0017214776834062271,0,7
SLM.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,8
SOL.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,12
VOD.JO,0.03225806451612903,0.03225806451612903,0.0,0.0008607388417031131,0,21
