StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,89.42817,-62.117863,5.0,5.0888805
AGL.JO,-89.919426,88.09042,5.0,5.038374
AMS.JO,-89.93013,89.69827,5.0,4.9668555
APN.JO,86.0533,89.339035,5.0,5.0264506
BTI.JO,89.66011,89.40716,5.0,5.0063286
BVT.JO,89.47963,-77.513466,5.0,5.110094
CLS.JO,88.72334,88.49063,5.0,5.028953
CPI.JO,89.97358,-89.736984,5.0,4.986375
DSY.JO,89.432014,87.84311,5.0,5.100445
EXX.JO,-89.88817,-81.52728,5.0,5.048063
FSR.JO,62.756683,-75.53015,10.0,5.1396294
GFI.JO,-89.43782,89.15806,5.0,5.1923375
GLN.JO,-89.097755,85.202805,5.0,5.048127
GRT.JO,86.29742,-54.38796,5.0,5.667686
HAR.JO,78.461235,85.121666,5.0,5.2008634
IMP.JO,-89.76989,81.71735,5.0,5.216487
INL.JO,88.854744,54.156685,5.0,5.1426654
INP.JO,88.68149,80.61022,5.0,5.333743
KIO.JO,-89.8992,-77.5584,5.0,5.037654
MNP.JO,89.44174,82.706024,5.0,4.871383
MRP.JO,89.39244,-89.28999,5.0,5.0003633
MTN.JO,-80.2079,-89.2,5.0,5.0106335
NED.JO,87.20165,-88.827835,5.0,5.044598
NPN.JO,-89.98019,89.92162,5.0,5.0116906
NRP.JO,88.63598,82.70069,5.0,5.0398297
REM.JO,88.972305,86.20795,5.0,5.1829395
RLO.JO,-70.94819,86.21691,5.0,5.1771393
SBK.JO,88.38808,-83.83653,5.0,5.0781603
SHP.JO,89.51124,87.05646,5.0,5.1189666
SLM.JO,-88.02161,84.35417,5.0,5.0776014
SOL.JO,87.76992,-89.16681,5.0,5.054562
VOD.JO,89.30665,88.63131,5.0,5.0908937
ABG.JO,89.42817,-62.117863,5.0,5.0888805
AGL.JO,-89.919426,88.09042,5.0,5.038374
AMS.JO,-89.93013,89.69827,5.0,4.9668555
APN.JO,86.0533,89.339035,5.0,5.0264506
BTI.JO,89.66011,89.40716,5.0,5.0063286
BVT.JO,89.47963,-77.513466,5.0,5.110094
CLS.JO,88.72334,88.49063,5.0,5.028953
CPI.JO,89.97358,-89.736984,5.0,4.986375
DSY.JO,89.432014,87.84311,5.0,5.100445
EXX.JO,-89.88817,-81.52728,5.0,5.048063
FSR.JO,62.756683,-75.53015,10.0,5.1396294
GFI.JO,-89.43782,89.15806,5.0,5.1923375
GLN.JO,-89.097755,85.202805,5.0,5.048127
GRT.JO,86.29742,-54.38796,5.0,5.667686
HAR.JO,78.461235,85.121666,5.0,5.2008634
IMP.JO,-89.76989,81.71735,5.0,5.216487
INL.JO,88.854744,54.156685,5.0,5.1426654
INP.JO,88.68149,80.61022,5.0,5.333743
KIO.JO,-89.8992,-77.5584,5.0,5.037654
MNP.JO,89.44174,82.706024,5.0,4.871383
MRP.JO,89.39244,-89.28999,5.0,5.0003633
MTN.JO,-80.2079,-89.2,5.0,5.0106335
NED.JO,87.20165,-88.827835,5.0,5.044598
NPN.JO,-89.98019,89.92162,5.0,5.0116906
NRP.JO,88.63598,82.70069,5.0,5.0398297
REM.JO,88.972305,86.20795,5.0,5.1829395
RLO.JO,-70.94819,86.21691,5.0,5.1771393
