StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,-88.7196,89.777596,2.0,1.5432569
AGL.JO,89.94563,89.744026,1.0,1.0119259
AMS.JO,-89.921455,89.35406,1.0,1.0087821
APN.JO,84.80369,-89.9268,1.0,1.014961
BTI.JO,-89.93238,-89.91975,1.0,1.09829
BVT.JO,-63.435658,89.38141,1.0,1.2671947
CLS.JO,88.66692,88.312195,1.0,1.1924958
CPI.JO,-89.95988,89.96762,1.0,1.1706121
DSY.JO,-89.52895,87.394844,1.0,1.0647916
EXX.JO,89.93852,-89.74566,1.0,1.1340919
FSR.JO,-88.97543,88.1279,1.0,1.3725052
GFI.JO,89.83362,89.593864,1.0,1.2760365
GLN.JO,89.660965,89.45352,1.0,1.3209481
GRT.JO,-87.389496,88.871185,1.0,1.4455235
HAR.JO,89.00044,-89.368,1.0,1.4360785
IMP.JO,89.71196,-81.418274,1.0,1.2827679
INL.JO,88.49024,70.41861,2.0,1.4082836
INP.JO,89.038666,-81.145004,2.0,1.0127034
KIO.JO,89.93243,89.60944,1.0,1.0646477
MNP.JO,-89.02344,-89.87678,1.0,1.0896958
MRP.JO,-89.895905,-89.89993,1.0,1.0294893
MTN.JO,-89.703606,-89.885185,2.0,1.1307223
NED.JO,-89.73583,-89.651924,1.0,1.0491971
NPN.JO,-89.97483,89.86351,1.0,1.0247674
NRP.JO,-88.78105,88.932655,2.0,0.9629401
REM.JO,-89.63643,84.46432,1.0,1.0355978
RLO.JO,-88.02215,88.92677,2.0,1.3360775
SBK.JO,89.48904,-83.721596,2.0,1.1008142
SHP.JO,-89.807816,-89.82707,1.0,1.0344152
SLM.JO,-88.95655,-89.69128,1.0,0.62981343
SOL.JO,-89.87885,-89.93259,1.0,1.0009142
VOD.JO,-89.723206,-89.76868,1.0,0.8732005
ABG.JO,89.67926,89.71715,1.0,1.5826397
AGL.JO,89.92076,89.786545,1.0,1.0200409
AMS.JO,89.96537,89.605484,1.0,1.0093441
APN.JO,89.69294,-89.92612,1.0,1.0153304
BTI.JO,89.977486,-89.922455,1.0,1.0607438
BVT.JO,89.58744,89.37029,1.0,1.2660003
CLS.JO,89.909515,-79.798004,1.0,1.1883903
CPI.JO,-88.686844,89.96558,1.0,1.1709532
DSY.JO,87.47317,86.78998,1.0,1.056486
EXX.JO,89.8934,-89.72701,1.0,1.124225
FSR.JO,88.42108,88.33826,2.0,1.3586711
GFI.JO,89.74188,89.732025,2.0,1.2875204
