,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.7742465,0.008111914,0.00022914995,0.00038690804,0.00022914995,0.00022914995,0.00022914995,0.00027392438,0.076086335,0.00049716805,0.00022914995,0.00022914995,0.00022914995,0.008195544,0.018378133,0.062951766,0.017494967,0.003153304,0.00022914995,0.00022914995,0.0021410305,0.006947651,0.0048490628,0.0012683177,0.00022914995,0.00022914995,0.00022914995,0.0002747443,0.0113053685,0.00022914995,0.00022914995,0.00022914995
AGL.JO,3.7404394e-08,0.99981207,1.0566197e-09,3.0337894e-08,1.1062364e-09,1.0566197e-09,2.979362e-09,1.1300191e-09,3.1840308e-09,1.0566197e-09,1.0566197e-09,1.0566197e-09,3.2949817e-08,1.0566197e-09,5.1646595e-07,0.00018656817,1.0566197e-09,1.7267909e-09,3.7866153e-07,3.503692e-08,1.0566197e-09,2.6361926e-09,1.0566197e-09,1.1265414e-09,1.0566197e-09,1.7420158e-08,4.1420325e-09,4.49709e-07,8.349539e-08,2.0825826e-08,3.9178967e-09,4.037548e-09
AMS.JO,2.2163817e-06,2.2163817e-06,0.9949419,3.1893198e-06,4.138157e-06,2.2163817e-06,1.6345575e-05,5.2644014e-06,4.672299e-06,0.001623227,8.2419094e-05,2.2163817e-06,2.2163817e-06,0.00013673119,2.2163817e-06,2.2163817e-06,4.675348e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06,0.0028498208,0.0002779939,2.2163817e-06,2.2163817e-06,7.4092413e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06,2.2163817e-06
APN.JO,2.9175878e-06,4.9613827e-05,2.486506e-06,0.99601066,1.20931345e-05,5.09079e-06,1.7279692e-06,7.2590333e-06,1.7279692e-06,1.7279692e-06,1.7279692e-06,0.0006680553,0.0003361167,2.617506e-05,3.853766e-06,0.0017567952,1.7279692e-06,1.7279692e-06,1.7279692e-06,1.7279692e-06,1.7279692e-06,1.7279692e-06,6.304274e-06,1.3032236e-05,0.00056995585,1.7279692e-06,0.0001031006,2.778306e-06,1.7279692e-06,9.616593e-06,0.0003091336,8.422077e-05
BTI.JO,1.0346387e-06,1.0832233e-06,1.9317506e-06,7.2408843e-06,0.9974993,7.2263006e-06,0.00022310227,2.0138308e-05,1.0346387e-06,1.0346387e-06,1.8238787e-05,1.5303478e-05,4.937018e-05,2.7604337e-06,1.0346387e-06,1.0346387e-06,1.0346387e-06,1.0346387e-06,4.257348e-05,1.0346387e-06,1.0346387e-06,7.434785e-06,3.241154e-06,4.5062093e-06,9.670477e-06,5.3949652e-06,0.00070292316,7.433626e-05,1.0346387e-06,0.0003138736,0.00026106442,0.0007187832
BVT.JO,0.00070510525,0.00070510525,0.00070510525,0.0020773187,0.004924717,0.68901134,0.00070510525,0.00070510525,0.00070510525,0.009851895,0.00070510525,0.0819028,0.00070510525,0.00070510525,0.00070510525,0.00070510525,0.0009102207,0.00070510525,0.0013599609,0.00070510525,0.0050127665,0.00070510525,0.008218091,0.00070510525,0.0025373767,0.0017587725,0.0031779644,0.0034060588,0.00070510525,0.00070510525,0.17315872,0.00070510525
CLS.JO,0.001111058,0.003132861,0.0081939325,0.001111058,0.23958093,0.001111058,0.41930935,0.0026466448,0.001111058,0.001111058,0.007848663,0.001111058,0.018456843,0.001111058,0.001111058,0.0017886163,0.0012498265,0.001111058,0.014262595,0.001111058,0.010000653,0.01663461,0.001111058,0.001111058,0.001111058,0.001111058,0.001111058,0.051267996,0.036988158,0.14906004,0.001111058,0.0018012956
CPI.JO,0.00016598728,0.0001485017,0.00032981343,0.00058332016,0.0027027023,0.00013885577,0.0003307675,0.8810283,0.0032050514,0.00020741031,0.00013885577,0.00013885577,0.00013885577,0.00035277294,0.00013885577,0.00013885577,0.0014203379,0.0005342384,0.0005043201,0.0032321734,0.00013885577,0.00036467923,0.0045304303,0.00028864946,0.032345433,0.00013885577,0.017614475,0.00013885577,0.00013885577,0.00022984519,0.011929523,0.036562752
DSY.JO,0.27062637,0.0024560771,0.0017181825,0.00081504806,0.00081504806,0.00081504806,0.00081504806,0.018812835,0.52716815,0.002389023,0.00081504806,0.00081504806,0.00081504806,0.007181537,0.0013603801,0.01559156,0.07102948,0.0059383637,0.00081504806,0.0032034751,0.023708746,0.019004427,0.005366346,0.0015033785,0.00081504806,0.00081504806,0.00081504806,0.00081504806,0.010715887,0.00081504806,0.00081504806,0.00081504806
EXX.JO,5.556884e-06,2.5612262e-06,0.0018757831,2.5612262e-06,2.5612262e-06,3.578607e-05,2.5612262e-06,3.8257303e-06,7.507322e-06,0.9826752,1.07179385e-05,9.749907e-05,2.5612262e-06,2.5612262e-06,1.6990301e-05,4.636088e-06,1.4581568e-05,2.5612262e-06,3.2508477e-05,2.5612262e-06,0.014513415,0.0005664177,2.5612262e-06,2.5612262e-06,4.889107e-06,1.1845012e-05,2.5612262e-06,5.1652045e-05,3.5363282e-05,2.5612262e-06,2.5612262e-06,2.5612262e-06
