,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.9352981,0.0004614368,0.0004614368,0.00068358134,0.0004614368,0.001319982,0.019245526,0.0004614368,0.0004614368,0.002843551,0.0034217865,0.0020683832,0.0004614368,0.0008419095,0.0004614368,0.0004614368,0.0046508783,0.0007818319,0.0004614368,0.0004614368,0.0018748377,0.0004614368,0.0004614368,0.0004614368,0.00052798976,0.0004614368,0.0010486225,0.0004614368,0.00049267616,0.0004614368,0.01700053,0.00051696016
AGL.JO,1.5377262e-06,0.9104214,3.5662997e-06,7.0863484e-06,1.6425485e-05,0.085760295,1.5377262e-06,1.5377262e-06,1.8392644e-06,7.811047e-05,1.5377262e-06,1.5377262e-06,1.5377262e-06,9.526044e-06,0.00019247223,1.5377262e-06,0.0012848661,7.8126595e-06,0.0019990865,1.5377262e-06,2.5364789e-06,3.2800851e-06,1.5377262e-06,1.5377262e-06,1.5377262e-06,1.5377262e-06,9.806712e-06,0.00016610698,1.2715748e-05,1.5377262e-06,1.5377262e-06,1.5377262e-06
AMS.JO,0.00010966567,0.00025433698,0.9324023,0.00010966567,0.00010966567,0.0021455705,0.00010966567,0.00010966567,0.0008207585,0.0021300544,0.00010966567,0.00093942886,0.013345605,0.00010966567,0.00010966567,0.00010966567,0.00010966567,0.00010966567,0.00019290898,0.00010966567,0.030152299,0.00010966567,0.010494884,0.0002046885,0.0040732706,0.00022608129,0.00047088863,0.00012324788,0.00010966567,0.00012426676,0.00010966567,0.00025439158
APN.JO,0.0064546065,0.020078681,0.0043570413,0.25408363,0.013619731,0.034454416,0.0043570413,0.0043570413,0.0043570413,0.013845958,0.0043570413,0.0043570413,0.0043570413,0.026848854,0.011002766,0.21891068,0.042072676,0.06112971,0.0055426485,0.16025405,0.0043570413,0.02130965,0.0043570413,0.0043570413,0.0043570413,0.0043570413,0.0043570413,0.011610192,0.0043570413,0.0043570413,0.028355762,0.0050703324
BTI.JO,5.756156e-07,6.148537e-06,5.756156e-07,1.7993248e-06,0.9993229,5.756156e-07,5.756156e-07,5.756156e-07,9.114248e-07,6.151288e-06,5.756156e-07,0.0005444817,5.756156e-07,8.998499e-05,5.756156e-07,5.756156e-07,1.4296764e-06,5.756156e-07,4.769903e-06,6.492969e-07,5.756156e-07,4.9958753e-06,5.756156e-07,5.756156e-07,5.756156e-07,2.6341907e-06,5.756156e-07,5.756156e-07,5.756156e-07,5.756156e-07,6.9871095e-07,2.1415533e-06
BVT.JO,6.8686445e-06,0.13391294,4.6977224e-05,1.898752e-05,2.4011279e-06,0.8625147,2.4011279e-06,2.4011279e-06,2.4011279e-06,0.00066631596,9.600261e-06,2.4011279e-06,2.4011279e-06,2.4011279e-06,9.78996e-05,2.4011279e-06,0.002333487,1.3748462e-05,2.6816206e-05,2.4011279e-06,0.000107412125,4.8303314e-06,3.5405242e-06,2.4011279e-06,2.4011279e-06,2.4011279e-06,4.4892207e-05,0.00012694766,2.8256809e-05,2.4011279e-06,2.4011279e-06,2.4011279e-06
CLS.JO,3.2556572e-06,7.805864e-08,7.805864e-08,7.805864e-08,7.805864e-08,7.805864e-08,0.9993967,7.805864e-08,1.1834469e-06,7.805864e-08,7.805864e-08,7.805864e-08,5.4938795e-07,4.258859e-06,1.0837499e-06,2.6839663e-05,7.805864e-08,7.805864e-08,1.0065214e-06,5.8152244e-07,1.537904e-07,7.805864e-08,5.753754e-07,0.0005316441,7.805864e-08,7.805864e-08,7.805864e-08,1.8328028e-06,2.837181e-05,1.9428491e-07,8.511218e-08,4.6785323e-07
CPI.JO,4.317579e-05,4.317579e-05,4.317579e-05,4.317579e-05,4.317579e-05,4.317579e-05,4.317579e-05,0.9769677,4.317579e-05,4.317579e-05,0.0016183545,4.317579e-05,4.317579e-05,4.317579e-05,7.336713e-05,0.0015930621,4.317579e-05,7.268326e-05,4.317579e-05,0.0055343863,5.4406053e-05,0.0006001979,0.0008789204,4.317579e-05,0.00077046215,0.00021669042,6.9736874e-05,4.317579e-05,0.00029895006,0.0093100695,0.0012069239,4.317579e-05
DSY.JO,8.384274e-06,1.0028377e-05,6.274949e-05,8.384274e-06,1.3275588e-05,8.384274e-06,0.00012711396,8.384274e-06,0.96174014,1.9268287e-05,8.384274e-06,0.00053639174,8.24655e-05,3.7866666e-05,8.384274e-06,8.384274e-06,4.4111188e-05,8.384274e-06,0.00048427377,8.384274e-06,1.1066609e-05,8.384274e-06,1.6815799e-05,0.03484187,9.23994e-06,5.6364104e-05,0.00015425564,3.2216067e-05,0.0006035449,0.00095963327,8.384274e-06,6.4926186e-05
EXX.JO,0.004833041,0.039838396,0.015233219,0.0024923151,0.0083811795,0.21763895,0.000784281,0.000784281,0.0018023923,0.5752689,0.000784281,0.0019762462,0.000784281,0.0028231046,0.000784281,0.000784281,0.055955186,0.007243798,0.0008413946,0.000784281,0.0037655507,0.000784281,0.000784281,0.000784281,0.0053120526,0.000784281,0.035110142,0.0048015714,0.0029781891,0.000784281,0.000784281,0.003508671
FSR.JO,6.68701e-05,9.0176045e-06,9.0176045e-06,9.0176045e-06,9.0176045e-06,3.6054458e-05,9.0176045e-06,0.00033800607,9.0176045e-06,9.0176045e-06,0.99759597,9.0176045e-06,9.0176045e-06,9.0176045e-06,9.0176045e-06,9.0176045e-06,1.5598373e-05,9.0176045e-06,9.0176045e-06,9.0176045e-06,9.0176045e-06,0.00025932537,9.0176045e-06,6.568425e-05,2.4651878e-05,9.0176045e-06,0.0013796795,1.36985955e-05,1.5214863e-05,9.0176045e-06,9.0176045e-06,9.0176045e-06
GFI.JO,2.1546548e-08,4.806832e-09,4.1176797e-08,4.806832e-09,4.5468423e-06,4.806832e-09,4.806832e-09,4.806832e-09,3.075214e-07,1.2112342e-08,4.806832e-09,0.99999356,6.319872e-07,1.291661e-08,4.806832e-09,4.806832e-09,4.806832e-09,4.806832e-09,6.381655e-07,4.806832e-09,4.806832e-09,4.806832e-09,4.806832e-09,9.314285e-08,4.806832e-09,1.3343668e-08,4.806832e-09,4.806832e-09,4.806832e-09,4.806832e-09,2.738131e-08,3.2792396e-08
GLN.JO,0.00023020458,0.00023020458,0.028014412,0.00023020458,0.00023020458,0.00023020458,0.0016202136,0.00023020458,0.0022642312,0.00023020458,0.00023020458,0.030266576,0.9018011,0.00023020458,0.00023020458,0.00023020458,0.00023020458,0.00027882075,0.00023707889,0.0005416134,0.00046807225,0.00023020458,0.0044326694,0.0026705407,0.004577287,0.0027379047,0.00023020458,0.00023020458,0.00023020458,0.009072944,0.005723833,0.0016094865
GRT.JO,3.0477224e-05,0.000103479804,1.670406e-05,0.00010293335,0.0026113165,1.670406e-05,0.0009113686,1.670406e-05,7.544207e-05,6.0128044e-05,1.670406e-05,4.4886114e-05,1.670406e-05,0.99139506,0.0007788932,0.0015904732,1.670406e-05,2.7584443e-05,0.00014118326,0.00092692336,1.670406e-05,1.670406e-05,1.670406e-05,1.670406e-05,1.670406e-05,1.670406e-05,1.670406e-05,4.565588e-05,0.0005623112,4.1844763e-05,8.201773e-05,0.00025096253
HAR.JO,0.00018612131,0.023296205,0.00018612131,0.00047000914,0.00018612131,0.0075886026,0.0025840693,0.00031626955,0.00018612131,0.00018612131,0.00018612131,0.00018612131,0.00018612131,0.008678647,0.86966014,0.07615881,0.00018612131,0.00034298716,0.0056647854,0.00018612131,0.00021655406,0.0004578715,0.0009104438,0.00018612131,0.00018612131,0.00018612131,0.00018612131,0.0002774051,0.00021316236,0.00018612131,0.00018612131,0.00018612131
