,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.16129032258064516,0.16129032258064516,0.012661076975593105,0.14840423302990005,0.21428571428571427,0
AGL.JO,0.1935483870967742,0.1935483870967742,0.025895368072787427,0.14265406053399488,0.18461538461538463,1
AMS.JO,0.16129032258064516,0.16129032258064516,0.015588849621107681,0.15870454882769605,0.25,2
APN.JO,0.1935483870967742,0.29032258064516125,0.031100088680733846,0.14032099498381229,0.1858974358974359,1
BTI.JO,0.1935483870967742,0.1935483870967742,0.029900793650793647,0.14629542973319976,0.23846153846153847,2
BVT.JO,0.16129032258064516,0.1935483870967742,0.021247976933460807,0.13562963162419805,0.23636363636363636,3
CLS.JO,0.16129032258064516,0.3225806451612903,0.05788567316793123,0.14526364998884803,0.1875,2
CPI.JO,0.22580645161290322,0.03225806451612903,0.006163594470046083,0.18322387968443785,0.26785714285714285,1
DSY.JO,0.25806451612903225,0.1935483870967742,0.040563391208552506,0.21631272164600993,0.2111111111111111,0
EXX.JO,0.16129032258064516,0.1935483870967742,0.015492191500256016,0.09205309580521788,0.17142857142857143,3
FSR.JO,0.3225806451612903,0.25806451612903225,0.0735692936096162,0.2447480364526065,0.19736842105263158,0
GFI.JO,0.22580645161290322,0.16129032258064516,0.04507259317743188,0.1990995245916279,0.16153846153846155,1
GLN.JO,0.3225806451612903,0.29032258064516125,0.06412628590047946,0.26788382641312325,0.1590909090909091,2
GRT.JO,0.25806451612903225,0.3548387096774194,0.07487604689217592,0.20192087375902593,0.15476190476190477,1
HAR.JO,0.1935483870967742,0.12903225806451613,0.017194273766854413,0.1435488930187635,0.17045454545454544,1
IMP.JO,0.29032258064516125,0.22580645161290322,0.04536249592701205,0.24269500231833988,0.2025862068965517,0
INL.JO,0.16129032258064516,0.25806451612903225,0.020357608341479306,0.12414721525897282,0.23148148148148148,2
INP.JO,0.16129032258064516,0.25806451612903225,0.027883129415387477,0.13375294146201747,0.24666666666666667,3
KIO.JO,0.0967741935483871,0.22580645161290322,0.016495465406755727,0.10201565627383105,0.2441860465116279,1
MNP.JO,0.25806451612903225,0.25806451612903225,0.08604393068102745,0.2187703006782098,0.20588235294117646,0
MRP.JO,0.16129032258064516,0.1935483870967742,0.019766971379874605,0.1329569255640589,0.21296296296296297,0
MTN.JO,0.1935483870967742,0.1935483870967742,0.03046497260206938,0.1867687718756672,0.21875,2
NED.JO,0.29032258064516125,0.1935483870967742,0.04188218591444398,0.24054235657661244,0.1941747572815534,3
NPN.JO,0.16129032258064516,0.1935483870967742,0.021482455716326673,0.1721904371242383,0.24074074074074073,0
NRP.JO,0.16129032258064516,0.1935483870967742,0.03470024748250555,0.1478385784328128,0.21818181818181817,3
REM.JO,0.4193548387096774,0.29032258064516125,0.10211922336922336,0.29889375824427733,0.17248908296943233,1
RLO.JO,0.06451612903225806,0.16129032258064516,0.004517195767195767,0.06828250885735458,0.2619047619047619,0
SBK.JO,0.16129032258064516,0.22580645161290322,0.049449581183452156,0.13390779737589392,0.24242424242424243,2
SHP.JO,0.1935483870967742,0.12903225806451613,0.012932357367841239,0.17328095929293963,0.2727272727272727,3
SLM.JO,0.29032258064516125,0.16129032258064516,0.04018590728268147,0.2453435782064222,0.21910112359550563,2
SOL.JO,0.06451612903225806,0.12903225806451613,0.007048771121351768,0.05294075543522666,0.23333333333333334,1
VOD.JO,0.16129032258064516,0.06451612903225806,0.007970003413551802,0.11393059561549355,0.16666666666666666,2
