,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.3225806451612903,0.16129032258064516,0.055449632769367124,0.295924841224642,0.16666666666666666,0
AGL.JO,0.22580645161290322,0.3225806451612903,0.08683176529001956,0.18255088789545001,0.14423076923076922,1
AMS.JO,0.25806451612903225,0.16129032258064516,0.043411263169327675,0.16068109712719061,0.1794871794871795,2
APN.JO,0.12903225806451613,0.22580645161290322,0.036747311827956985,0.06010651649448281,0.15454545454545454,3
BTI.JO,0.3225806451612903,0.16129032258064516,0.029433364091808113,0.3583705696461871,0.2236842105263158,0
BVT.JO,0.12903225806451613,0.1935483870967742,0.02548532902897229,0.15819795095612105,0.20930232558139536,1
CLS.JO,0.3225806451612903,0.22580645161290322,0.08006493506493505,0.3029669352533315,0.1650485436893204,1
CPI.JO,0.12903225806451613,0.1935483870967742,0.023598914965138867,0.10665085486699014,0.2222222222222222,0
DSY.JO,0.12903225806451613,0.1935483870967742,0.03497994538317119,0.07306202016723859,0.18181818181818182,0
EXX.JO,0.22580645161290322,0.1935483870967742,0.08904462078086368,0.19106131574170745,0.10526315789473684,3
FSR.JO,0.16129032258064516,0.0967741935483871,0.020586743006097846,0.10827644377170279,0.16666666666666666,3
GFI.JO,0.12903225806451613,0.16129032258064516,0.030287381814896045,0.10841922710058025,0.125,1
GLN.JO,0.0967741935483871,0.16129032258064516,0.03229689366786141,0.08829224536994647,0.14285714285714285,1
GRT.JO,0.0967741935483871,0.06451612903225806,0.010831199863457926,0.04600496018490693,0.1,1
HAR.JO,0.03225806451612903,0.16129032258064516,0.007672058070540044,0.01282787516034372,0.16666666666666666,0
IMP.JO,0.1935483870967742,0.12903225806451613,0.029525244767180252,0.1767941487497636,0.18888888888888888,3
INL.JO,0.16129032258064516,0.12903225806451613,0.05690414125897996,0.15420514689811252,0.1527777777777778,2
INP.JO,0.29032258064516125,0.16129032258064516,0.06244850921795893,0.3094301996362786,0.2076923076923077,2
KIO.JO,0.16129032258064516,0.1935483870967742,0.055154889912954426,0.1346217803914401,0.11818181818181818,1
MNP.JO,0.0967741935483871,0.12903225806451613,0.0421789002339287,0.07027155428893939,0.16666666666666666,2
MRP.JO,0.12903225806451613,0.12903225806451613,0.022697938086932396,0.15969803269393343,0.1111111111111111,3
MTN.JO,0.3225806451612903,0.16129032258064516,0.06231573665634387,0.3572141847503792,0.22815533980582525,2
NED.JO,0.16129032258064516,0.25806451612903225,0.0906016453502222,0.15798283676449124,0.13636363636363635,3
NPN.JO,0.12903225806451613,0.16129032258064516,0.031070162180219105,0.12325449471710312,0.125,1
NRP.JO,0.12903225806451613,0.12903225806451613,0.024733571825602183,0.10864139894281839,0.16071428571428573,3
REM.JO,0.16129032258064516,0.16129032258064516,0.03926864652671104,0.1112346489268317,0.19318181818181818,0
RLO.JO,0.29032258064516125,0.16129032258064516,0.06275647274224123,0.28088613145620084,0.16853932584269662,0
SBK.JO,0.06451612903225806,0.1935483870967742,0.019521094198513552,0.08581763322836225,0.30357142857142855,2
SHP.JO,0.0967741935483871,0.06451612903225806,0.0123613769391758,0.07308625233970617,0.1,0
SLM.JO,0.03225806451612903,0.0967741935483871,0.007867383512544804,0.055306010440266264,0.3333333333333333,2
SOL.JO,0.06451612903225806,0.12903225806451613,0.01268731865506059,0.05099592832836971,0.2,3
VOD.JO,0.1935483870967742,0.3225806451612903,0.08914259838832894,0.17063857775449173,0.16806722689075632,2
