,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.16129032258064516,0.06451612903225806,0.021555168248716634,0.17890903101663336,0.14285714285714285,3
AGL.JO,0.22580645161290322,0.12903225806451613,0.04829125474286764,0.21566103369221176,0.14814814814814814,1
AMS.JO,0.16129032258064516,0.1935483870967742,0.052208863418540835,0.15842800437468454,0.12727272727272726,1
APN.JO,0.12903225806451613,0.0967741935483871,0.010743169614137358,0.11792351898144512,0.11904761904761904,3
BTI.JO,0.16129032258064516,0.1935483870967742,0.059051656229075586,0.17244624735081018,0.10377358490566038,1
BVT.JO,0.12903225806451613,0.16129032258064516,0.024010962156123444,0.12897857949361874,0.18571428571428572,3
CLS.JO,0.16129032258064516,0.1935483870967742,0.03563969184936927,0.15674058924505485,0.14814814814814814,0
CPI.JO,0.0967741935483871,0.06451612903225806,0.008095664789213178,0.09866887834640788,0.35,2
DSY.JO,0.16129032258064516,0.16129032258064516,0.02128485313969185,0.1625866436209542,0.23255813953488372,0
EXX.JO,0.16129032258064516,0.0967741935483871,0.036827103601297144,0.1885431973477775,0.14285714285714285,2
FSR.JO,0.16129032258064516,0.22580645161290322,0.04367608496640754,0.1256856129715613,0.18461538461538463,1
GFI.JO,0.29032258064516125,0.16129032258064516,0.06067453752937624,0.2904705924254824,0.16292134831460675,2
GLN.JO,0.16129032258064516,0.1935483870967742,0.03922193994774639,0.1539823521277655,0.18867924528301888,3
GRT.JO,0.16129032258064516,0.1935483870967742,0.06109794924311055,0.1836278731600622,0.10185185185185185,3
HAR.JO,0.0967741935483871,0.22580645161290322,0.02685393161199613,0.0755975949724303,0.11363636363636363,2
IMP.JO,0.22580645161290322,0.22580645161290322,0.06416418408353894,0.25848335702623554,0.17045454545454544,0
INL.JO,0.16129032258064516,0.06451612903225806,0.018579699870022455,0.17088733454339183,0.11904761904761904,2
INP.JO,0.22580645161290322,0.0967741935483871,0.0377299940203166,0.24670317871073236,0.1590909090909091,1
KIO.JO,0.12903225806451613,0.06451612903225806,0.010407853794950569,0.14172592919089108,0.1,1
MNP.JO,0.12903225806451613,0.22580645161290322,0.041460507831475577,0.13233838341112394,0.17592592592592593,1
MRP.JO,0.16129032258064516,0.12903225806451613,0.0530780509812768,0.17704835909121863,0.1388888888888889,2
MTN.JO,0.0967741935483871,0.16129032258064516,0.02024263072650169,0.08030393134741515,0.1111111111111111,2
NED.JO,0.1935483870967742,0.16129032258064516,0.047098519759810074,0.2304806956332948,0.1509433962264151,1
NPN.JO,0.1935483870967742,0.1935483870967742,0.0266714378811153,0.23832619846738326,0.18181818181818182,0
NRP.JO,0.0967741935483871,0.16129032258064516,0.03173825875438779,0.08901872215528067,0.10714285714285714,3
REM.JO,0.25806451612903225,0.1935483870967742,0.07548886000498906,0.19078858319581068,0.12921348314606743,3
RLO.JO,0.22580645161290322,0.1935483870967742,0.04231492521815103,0.22224510461832042,0.19480519480519481,1
SBK.JO,0.16129032258064516,0.25806451612903225,0.04025325928551735,0.13419904708701827,0.17532467532467533,3
SHP.JO,0.22580645161290322,0.12903225806451613,0.045982676224611704,0.2329909142027103,0.12264150943396226,2
SLM.JO,0.22580645161290322,0.22580645161290322,0.08568786351044415,0.2169891614644193,0.11931818181818182,3
SOL.JO,0.12903225806451613,0.1935483870967742,0.054996159754224276,0.13386330473740973,0.2,2
VOD.JO,0.06451612903225806,0.29032258064516125,0.024764760329276454,0.057386586383864395,0.22727272727272727,0
