,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.16129032258064516,0.1935483870967742,0.017962206550916227,0.14297503970954198,0.19444444444444445,0
AGL.JO,0.22580645161290322,0.3548387096774194,0.06963092612286159,0.18224031169223723,0.20416666666666666,1
AMS.JO,0.29032258064516125,0.12903225806451613,0.022415708544740804,0.21748220330647383,0.2012987012987013,2
APN.JO,0.16129032258064516,0.22580645161290322,0.02860089432670078,0.12504753816803713,0.21212121212121213,2
BTI.JO,0.16129032258064516,0.25806451612903225,0.03088806653322782,0.14094341258861678,0.20394736842105263,0
BVT.JO,0.16129032258064516,0.3548387096774194,0.04128159474933668,0.14128495882436076,0.19230769230769232,1
CLS.JO,0.1935483870967742,0.12903225806451613,0.03087421837421837,0.14233786247369243,0.16666666666666666,1
CPI.JO,0.1935483870967742,0.25806451612903225,0.035037083585470696,0.15551983486526755,0.23333333333333334,0
DSY.JO,0.4193548387096774,0.29032258064516125,0.0802248647409938,0.32460663312479093,0.1925133689839572,1
EXX.JO,0.16129032258064516,0.16129032258064516,0.0164973049650469,0.1270063092141013,0.1590909090909091,2
FSR.JO,0.16129032258064516,0.22580645161290322,0.02775083041212073,0.11462581882049029,0.14393939393939395,0
GFI.JO,0.16129032258064516,0.12903225806451613,0.011679758413629381,0.10501036594818196,0.1527777777777778,1
GLN.JO,0.16129032258064516,0.12903225806451613,0.01380657574205961,0.09786012993544034,0.20833333333333334,1
GRT.JO,0.25806451612903225,0.29032258064516125,0.06502940756973015,0.22684658655077816,0.18518518518518517,0
HAR.JO,0.29032258064516125,0.1935483870967742,0.02629710343420021,0.23962917961878313,0.2236842105263158,2
IMP.JO,0.3225806451612903,0.29032258064516125,0.06552953169888656,0.2772407355073564,0.2215568862275449,2
INL.JO,0.22580645161290322,0.16129032258064516,0.01751982187466058,0.18571779558262785,0.18181818181818182,1
INP.JO,0.12903225806451613,0.16129032258064516,0.012577655319590802,0.12146315338753802,0.18571428571428572,0
KIO.JO,0.22580645161290322,0.1935483870967742,0.04327006625393721,0.20938586015752253,0.1513157894736842,2
MNP.JO,0.29032258064516125,0.1935483870967742,0.04511043615882326,0.20939494684308468,0.15196078431372548,1
MRP.JO,0.25806451612903225,0.0967741935483871,0.0202504499681919,0.20009681523223824,0.2222222222222222,0
MTN.JO,0.1935483870967742,0.16129032258064516,0.0299535679374389,0.1553857609224852,0.21296296296296297,0
NED.JO,0.12903225806451613,0.22580645161290322,0.024014492079008208,0.0857554513140948,0.12037037037037036,2
NPN.JO,0.1935483870967742,0.0967741935483871,0.012009379509379508,0.14275031761978538,0.19117647058823528,0
NRP.JO,0.1935483870967742,0.22580645161290322,0.036546064449290254,0.1961674927411429,0.23026315789473684,2
REM.JO,0.22580645161290322,0.1935483870967742,0.03764802103511781,0.16801649336638466,0.16883116883116883,0
RLO.JO,0.16129032258064516,0.25806451612903225,0.03905460131266584,0.1402054642720279,0.26666666666666666,2
SBK.JO,0.12903225806451613,0.29032258064516125,0.02617028580738258,0.06979753084360085,0.19078947368421054,2
SHP.JO,0.3548387096774194,0.25806451612903225,0.054140017688404804,0.2882986656047802,0.19172932330827067,2
SLM.JO,0.16129032258064516,0.12903225806451613,0.02109241415693028,0.12967472455540202,0.2361111111111111,1
SOL.JO,0.22580645161290322,0.25806451612903225,0.035533697186922994,0.1568393800957377,0.16176470588235295,2
VOD.JO,0.16129032258064516,0.22580645161290322,0.020742738444351348,0.11632895997600341,0.2734375,2
