StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,89.42817,82.18521,5.0,5.091614
AGL.JO,-89.919426,-89.850784,5.0,5.0478315
AMS.JO,-89.93013,-89.900475,5.0,5.144971
APN.JO,86.0533,-87.46143,5.0,5.0200653
BTI.JO,89.66011,-89.44028,5.0,5.027948
BVT.JO,89.47963,-88.07041,5.0,5.0146136
CLS.JO,88.72334,-72.62044,5.0,5.015365
CPI.JO,89.97358,89.89086,5.0,4.95638
DSY.JO,89.432014,87.52787,5.0,5.1020584
EXX.JO,-89.88817,-89.805084,5.0,5.249387
FSR.JO,85.81818,-78.64619,5.0,5.095702
GFI.JO,-89.43782,-89.33123,5.0,5.330595
GLN.JO,-89.097755,-89.13582,5.0,5.6994724
GRT.JO,86.29742,58.702538,5.0,5.1162443
HAR.JO,78.461235,39.476784,5.0,5.257538
IMP.JO,-89.76989,-89.66367,5.0,5.0317597
INL.JO,88.854744,84.8792,5.0,5.2214394
INP.JO,88.68149,85.30205,5.0,5.36975
KIO.JO,-89.8992,-89.84791,5.0,5.121362
MNP.JO,89.44174,69.29645,5.0,5.043395
MRP.JO,89.39244,83.267914,5.0,4.9968615
MTN.JO,-80.20789,-89.038635,5.0,5.0279064
NED.JO,87.20165,-88.95088,5.0,5.0078864
NPN.JO,-89.98019,-89.96004,5.0,5.034119
NRP.JO,88.63598,-88.4874,5.0,5.1391554
REM.JO,88.972305,87.65077,5.0,5.0253515
RLO.JO,-70.94819,-85.26525,5.0,5.216677
SBK.JO,88.38808,80.44417,5.0,5.087205
SHP.JO,89.51124,88.7837,5.0,5.002469
SLM.JO,-88.02161,-88.315506,5.0,5.225875
SOL.JO,87.76992,-89.51986,5.0,5.2100134
VOD.JO,89.30665,87.19656,5.0,5.0297236
ABG.JO,89.42817,89.10136,5.0,5.0923467
AGL.JO,-89.919426,-89.90916,5.0,4.91148
AMS.JO,-89.93013,-89.94957,5.0,5.013848
APN.JO,86.0533,-87.64437,5.0,5.002982
BTI.JO,89.66011,-81.532814,5.0,4.9961905
BVT.JO,89.47963,89.08863,5.0,5.0196824
CLS.JO,88.72334,87.89587,5.0,5.0486345
CPI.JO,89.97358,89.96733,5.0,5.036481
DSY.JO,89.432014,89.20747,5.0,5.005995
EXX.JO,-89.88817,-89.861176,5.0,4.829033
FSR.JO,85.81818,79.97741,5.0,5.020142
GFI.JO,-89.43782,-89.67553,5.0,5.0474157
GLN.JO,-89.097755,-89.266884,5.0,4.8338704
GRT.JO,86.29742,82.45764,5.0,5.0210238
HAR.JO,78.461235,-88.74127,5.0,5.053797
IMP.JO,-89.76989,-89.79118,5.0,4.919944
INL.JO,88.854744,88.30595,5.0,4.5731115
INP.JO,88.68149,87.95518,5.0,4.678287
KIO.JO,-89.8992,-89.908005,5.0,5.009027
MNP.JO,89.44174,75.06187,5.0,4.9803214
MRP.JO,89.39244,89.13317,5.0,5.010418
MTN.JO,-80.20789,-88.83136,5.0,5.017778
NED.JO,87.20165,62.00489,5.0,5.00191
NPN.JO,-89.98019,-89.97814,5.0,5.0101867
NRP.JO,88.63598,-82.88362,5.0,5.0053253
REM.JO,88.972305,88.067085,5.0,5.0431724
RLO.JO,-70.94819,-86.935936,5.0,5.060181
SBK.JO,88.38808,87.78712,5.0,5.059874
SHP.JO,89.51124,89.55271,5.0,5.028814
SLM.JO,-88.02161,-88.67143,5.0,5.092976
SOL.JO,87.76992,-89.587395,5.0,4.92662
VOD.JO,89.30665,89.00401,5.0,4.9862943
ABG.JO,89.42817,89.14882,5.0,5.087038
AGL.JO,-89.919426,-89.918655,5.0,4.989003
AMS.JO,-89.93013,-89.95417,5.0,5.0396137
APN.JO,86.0533,-87.695435,5.0,5.010824
BTI.JO,89.66011,-87.44478,5.0,5.0205917
BVT.JO,89.47963,89.26609,5.0,5.0127993
CLS.JO,88.72334,88.07705,5.0,5.023706
CPI.JO,89.97358,89.969604,5.0,4.983198
DSY.JO,89.432014,89.20005,5.0,5.0578046
EXX.JO,-89.88817,-89.869194,5.0,5.1647544
FSR.JO,85.81818,80.02581,5.0,5.0572987
GFI.JO,-89.43782,-89.67778,5.0,5.1884327
GLN.JO,-89.097755,-89.29439,5.0,5.0935354
GRT.JO,86.29742,82.87033,5.0,5.096797
HAR.JO,78.461235,-88.84619,5.0,5.1698184
IMP.JO,-89.76989,-89.80925,5.0,4.9932914
INL.JO,88.854744,87.941696,5.0,4.9086804
INP.JO,88.68149,87.39273,5.0,5.032029
KIO.JO,-89.8992,-89.91128,5.0,5.033122
MNP.JO,89.44174,-71.005135,5.0,5.014353
MRP.JO,89.39244,89.10105,5.0,5.0031466
MTN.JO,-80.20789,-88.80793,5.0,5.024905
NED.JO,87.20165,16.566265,5.0,5.0031695
NPN.JO,-89.98019,-89.97964,5.0,5.037046
NRP.JO,88.63598,-74.76459,5.0,5.0582466
REM.JO,88.972305,88.14245,5.0,5.0308137
RLO.JO,-70.94819,-87.1685,5.0,5.1713634
SBK.JO,88.38808,87.76434,5.0,5.0775647
SHP.JO,89.51124,89.54979,5.0,5.00564
SLM.JO,-88.02161,-88.70858,5.0,5.1793184
SOL.JO,87.76992,-89.6082,5.0,5.0858603
VOD.JO,89.30665,89.04599,5.0,5.0228624
ABG.JO,89.42817,88.9054,5.0,5.185449
AGL.JO,-89.919426,-89.912445,5.0,5.004483
AMS.JO,-89.93013,-89.95217,5.0,4.967993
APN.JO,86.0533,-87.99447,5.0,5.005764
BTI.JO,89.66011,-87.49193,5.0,5.0423527
BVT.JO,89.47963,89.11184,5.0,5.026802
CLS.JO,88.72334,86.706406,5.0,5.0093265
CPI.JO,89.97358,89.9646,5.0,5.00214
DSY.JO,89.432014,89.01721,5.0,5.1877785
EXX.JO,-89.88817,-89.86426,5.0,5.216118
FSR.JO,85.81818,70.908676,5.0,5.132687
GFI.JO,-89.43782,-89.63273,5.0,5.0082726
GLN.JO,-89.097755,-89.25913,5.0,4.828019
GRT.JO,86.29742,81.52129,5.0,5.2109838
HAR.JO,78.461235,-88.41207,5.0,5.0531254
IMP.JO,-89.76989,-89.78693,5.0,5.00787
INL.JO,88.854744,87.293945,5.0,4.9900727
INP.JO,88.68149,86.08794,5.0,4.956215
KIO.JO,-89.8992,-89.90603,5.0,4.9607306
MNP.JO,89.44174,-73.003654,5.0,5.0161924
MRP.JO,89.39244,88.89409,5.0,5.01687
MTN.JO,-80.20789,-88.86405,5.0,5.0333786
NED.JO,87.20165,-85.8139,5.0,5.016146
NPN.JO,-89.98019,-89.978424,5.0,5.0593615
NRP.JO,88.63598,-83.875305,5.0,5.0906744
REM.JO,88.972305,87.914696,5.0,5.0211816
RLO.JO,-70.94819,-86.632904,5.0,5.192333
SBK.JO,88.38808,87.3559,5.0,5.1231756
SHP.JO,89.51124,89.41996,5.0,5.0120234
SLM.JO,-88.02161,-88.59215,5.0,5.205526
SOL.JO,87.76992,-89.55868,5.0,5.13422
VOD.JO,89.30665,88.96629,5.0,5.127609
ABG.JO,89.76137,86.064064,5.0,5.1534314
AGL.JO,89.8304,-89.767624,5.0,4.995411
AMS.JO,89.932915,-89.73771,5.0,4.951992
APN.JO,89.785805,-86.811005,5.0,4.999133
BTI.JO,86.96529,86.91426,5.0,5.0343623
BVT.JO,89.63382,-87.52045,5.0,5.0159
CLS.JO,89.540985,-87.63145,5.0,5.017541
CPI.JO,89.835144,89.8446,5.0,5.0258427
DSY.JO,89.73144,88.47854,5.0,5.1364985
EXX.JO,89.765,-89.783455,5.0,5.2050104
FSR.JO,89.43635,-34.90015,5.0,5.086565
GFI.JO,-89.69036,-88.9405,5.0,4.975531
GLN.JO,88.93314,-88.40031,5.0,4.7479033
GRT.JO,87.143166,76.011505,5.0,5.1752872
HAR.JO,-84.50593,85.968735,5.0,5.0255895
IMP.JO,89.41927,-89.38969,5.0,4.996603
INL.JO,89.67246,88.50281,5.0,4.825185
INP.JO,89.69421,88.34582,5.0,4.7861576
KIO.JO,-82.58253,-89.81698,5.0,4.9504576
MNP.JO,89.89571,89.17369,5.0,4.997598
MRP.JO,89.798325,-48.551746,5.0,5.017486
MTN.JO,89.63656,-88.881165,5.0,5.0262504
NED.JO,89.676926,-88.55871,5.0,5.0099363
NPN.JO,89.96582,-89.95883,5.0,5.069906
NRP.JO,89.59677,-83.91593,5.0,5.039082
