StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,-88.7196,-89.95424,2.0,10.517176
AGL.JO,89.94563,-89.97442,1.0,4.478512
AMS.JO,-89.921455,-89.99447,1.0,3.9855328
APN.JO,84.80369,-89.98405,1.0,4.2556047
BTI.JO,-89.93238,-89.98649,1.0,4.283422
BVT.JO,-63.435658,-89.95106,1.0,7.29773
CLS.JO,88.66692,-89.97239,1.0,7.74513
CPI.JO,-89.95988,-89.99718,1.0,4.35505
DSY.JO,-89.52895,-89.94569,1.0,10.752913
EXX.JO,89.93852,-89.96047,1.0,7.828166
FSR.JO,-88.97543,-89.82364,1.0,10.692384
GFI.JO,89.83362,-89.96004,1.0,7.5726194
GLN.JO,89.660965,-89.81469,1.0,7.8181095
GRT.JO,-87.389496,-89.35288,1.0,15.211918
HAR.JO,89.00044,-89.9281,1.0,10.924197
IMP.JO,89.71196,-89.96264,1.0,7.544819
INL.JO,88.49024,-89.89514,2.0,10.798896
INP.JO,89.038666,-89.8792,2.0,10.853406
KIO.JO,89.93243,-89.97501,1.0,4.13618
MNP.JO,-89.02344,-89.97571,1.0,4.297268
MRP.JO,-89.895905,-89.97058,1.0,4.107241
MTN.JO,-89.703606,-89.97034,2.0,7.5850105
NED.JO,-89.73583,-89.95095,1.0,4.409686
NPN.JO,-89.97483,-89.99716,1.0,4.2181206
NRP.JO,-88.78105,-89.96262,2.0,10.892256
REM.JO,-89.63643,-89.91561,1.0,7.4982753
RLO.JO,-88.02215,-89.77581,2.0,7.1792307
SBK.JO,89.48904,-89.93946,2.0,7.489934
SHP.JO,-89.807816,-89.96929,1.0,4.3137846
SLM.JO,-88.95655,-89.87395,1.0,7.299103
SOL.JO,-89.87885,-89.98658,1.0,4.2927356
VOD.JO,-89.723206,-89.9465,1.0,10.954188
ABG.JO,89.67926,-89.95091,1.0,10.841322
AGL.JO,89.92076,-89.97798,1.0,4.277142
AMS.JO,89.96537,-89.99346,1.0,3.9969168
APN.JO,89.69294,-89.983246,1.0,4.3252406
BTI.JO,89.977486,-89.98573,1.0,4.241808
BVT.JO,89.58744,-89.951004,1.0,7.447957
CLS.JO,89.909515,-89.97221,1.0,7.709771
CPI.JO,-88.686844,-89.99713,1.0,4.3429036
DSY.JO,87.47317,-89.94215,1.0,10.919725
EXX.JO,89.8934,-89.953865,1.0,7.8450456
FSR.JO,88.42108,-89.81996,2.0,10.738633
GFI.JO,89.74188,-89.956,2.0,7.5885243
GLN.JO,89.76059,-89.70974,1.0,7.658155
GRT.JO,77.86921,-89.449936,2.0,15.617837
HAR.JO,89.34375,-89.92275,1.0,10.798097
IMP.JO,89.813896,-89.95945,1.0,8.048154
INL.JO,89.75158,-89.87541,1.0,10.769175
INP.JO,89.770836,-89.87253,1.0,10.577174
KIO.JO,-89.52536,-89.970406,1.0,4.2618484
MNP.JO,89.94619,-89.97398,1.0,4.4257383
MRP.JO,89.53994,-89.97286,1.0,4.2061257
MTN.JO,-89.89333,-89.967834,1.0,7.478339
NED.JO,89.544365,-89.955734,1.0,4.354806
NPN.JO,-89.998116,-89.996864,1.0,4.425218
NRP.JO,89.177574,-89.96207,1.0,10.887225
REM.JO,-85.912346,-89.92513,1.0,7.436423
RLO.JO,-88.02215,-89.73962,2.0,7.351322
SBK.JO,89.48904,-89.93852,2.0,7.6729727
SHP.JO,89.52618,-89.9713,1.0,4.299714
SLM.JO,88.37601,-89.88582,2.0,7.272608
SOL.JO,89.91965,-89.9871,1.0,4.3080173
VOD.JO,-89.82967,-89.94094,1.0,10.972897
ABG.JO,89.82057,-89.95513,1.0,10.518778
AGL.JO,-89.68994,-89.971855,1.0,4.261455
AMS.JO,-89.92935,-89.9941,1.0,3.9623618
APN.JO,89.31222,-89.98214,1.0,4.365569
BTI.JO,89.94658,-89.98631,1.0,4.3241673
BVT.JO,89.65593,-89.958374,1.0,7.4304256
CLS.JO,89.87845,-89.97282,1.0,7.824527
CPI.JO,89.98116,-89.99727,1.0,4.322295
DSY.JO,89.5847,-89.94928,1.0,10.915159
EXX.JO,-89.85696,-89.95001,1.0,7.689465
FSR.JO,88.42108,-89.814606,2.0,10.910112
GFI.JO,89.74188,-89.955246,2.0,7.5370655
GLN.JO,89.640396,-89.70323,1.0,7.4270067
GRT.JO,77.86921,-89.51321,2.0,16.198086
HAR.JO,88.408325,-89.93035,1.0,10.750235
IMP.JO,-89.61444,-89.9562,1.0,7.55854
INL.JO,89.558586,-89.87117,1.0,10.924887
INP.JO,89.57243,-89.87782,2.0,10.682853
KIO.JO,-89.91113,-89.97318,1.0,4.026279
MNP.JO,89.8254,-89.97709,1.0,4.2670755
MRP.JO,89.78315,-89.974945,1.0,4.2956905
MTN.JO,89.867134,-89.966866,1.0,7.9466047
NED.JO,89.863846,-89.957184,1.0,4.23199
NPN.JO,-89.97568,-89.99719,1.0,4.2288146
NRP.JO,89.607544,-89.961464,1.0,10.863407
REM.JO,89.489716,-89.9283,1.0,7.407338
RLO.JO,88.16934,-89.74256,1.0,7.1435795
SBK.JO,89.838005,-89.939835,2.0,7.443302
SHP.JO,89.89537,-89.969444,1.0,4.4124126
SLM.JO,88.37601,-89.906235,2.0,7.451968
SOL.JO,89.91388,-89.988075,1.0,4.4108977
VOD.JO,89.72298,-89.94331,1.0,10.641216
ABG.JO,89.890144,-89.958694,1.0,10.763497
AGL.JO,89.943146,-89.982346,1.0,4.289676
AMS.JO,89.98638,-89.99531,1.0,3.9837966
APN.JO,89.766365,-89.98267,1.0,4.4179373
BTI.JO,-89.67196,-89.98517,1.0,4.357199
BVT.JO,89.17889,-89.95631,2.0,7.3859982
CLS.JO,89.889534,-89.97642,1.0,7.822894
CPI.JO,89.99004,-89.997505,1.0,4.402275
DSY.JO,89.72088,-89.95455,1.0,10.878401
EXX.JO,89.382225,-89.9597,1.0,7.5758543
FSR.JO,89.73018,-89.84679,1.0,10.638283
GFI.JO,89.773346,-89.96124,1.0,7.7855105
GLN.JO,89.40934,-89.83029,1.0,7.3525953
GRT.JO,-88.63272,-89.52216,1.0,16.548397
HAR.JO,89.47897,-89.93031,1.0,10.876658
IMP.JO,89.933426,-89.95734,1.0,7.5537415
INL.JO,89.37628,-89.884605,1.0,10.619172
INP.JO,89.57243,-89.884575,2.0,10.829935
KIO.JO,89.94507,-89.97822,1.0,4.084046
MNP.JO,89.89463,-89.97523,1.0,4.4416738
MRP.JO,-89.88226,-89.97578,1.0,4.3164434
MTN.JO,89.84444,-89.9727,1.0,7.94298
NED.JO,89.92554,-89.95969,1.0,4.2089496
NPN.JO,89.992584,-89.99739,1.0,4.428308
NRP.JO,89.34392,-89.95965,1.0,10.956346
REM.JO,89.76214,-89.932396,1.0,7.447811
RLO.JO,89.24834,-89.66739,1.0,6.8758454
SBK.JO,89.838005,-89.94445,2.0,7.4068394
SHP.JO,89.87091,-89.97415,2.0,4.372365
SLM.JO,89.51222,-89.89144,1.0,7.6730957
SOL.JO,89.920006,-89.98706,1.0,4.347455
VOD.JO,89.770935,-89.94841,1.0,10.845911
ABG.JO,89.58195,-89.95514,1.0,10.562733
AGL.JO,-89.74434,-89.97986,1.0,4.3116302
AMS.JO,89.9451,-89.99488,1.0,3.8933365
APN.JO,-86.05331,-89.98236,2.0,4.314947
BTI.JO,89.90964,-89.98431,1.0,4.2105827
BVT.JO,89.17889,-89.9511,2.0,7.21902
CLS.JO,89.83121,-89.9738,1.0,7.5668583
CPI.JO,-89.95769,-89.997246,1.0,4.395295
DSY.JO,88.28113,-89.95561,1.0,10.568333
EXX.JO,-89.05043,-89.95527,1.0,7.5484114
FSR.JO,89.139336,-89.86922,1.0,10.807695
GFI.JO,89.21809,-89.96103,1.0,7.5336246
GLN.JO,-89.05562,-89.78419,1.0,7.3261895
GRT.JO,86.376976,-89.356476,2.0,16.505697
HAR.JO,88.98866,-89.92239,1.0,10.667199
IMP.JO,89.63178,-89.95981,1.0,7.5799623
INL.JO,89.61658,-89.884926,1.0,10.834015
INP.JO,89.35061,-89.87631,1.0,11.057886
KIO.JO,-89.95677,-89.97888,1.0,3.9583182
MNP.JO,-89.49431,-89.978226,1.0,4.288853
MRP.JO,89.88619,-89.97739,1.0,4.288678
MTN.JO,89.709366,-89.97221,1.0,7.6892858
NED.JO,89.811966,-89.95763,1.0,4.277956
NPN.JO,89.983215,-89.99705,1.0,4.1904
NRP.JO,89.58877,-89.95725,1.0,10.72399
REM.JO,89.028496,-89.933586,1.0,7.461376
RLO.JO,88.52902,-89.593796,1.0,7.146676
SBK.JO,-89.68404,-89.949554,1.0,7.609069
SHP.JO,89.87091,-89.971016,2.0,4.458477
SLM.JO,-87.674446,-89.88885,1.0,7.545142
SOL.JO,89.883995,-89.98901,1.0,4.4273224
VOD.JO,89.28917,-89.947556,1.0,10.960128
ABG.JO,-89.64921,-89.95235,1.0,10.605665
AGL.JO,-89.91855,-89.975815,1.0,4.279519
AMS.JO,89.862045,-89.99529,1.0,3.9376388
APN.JO,-86.05331,-89.981926,2.0,4.350619
BTI.JO,-73.31507,-89.98669,1.0,4.153104
BVT.JO,89.819664,-89.94403,1.0,7.451708
CLS.JO,89.85546,-89.974266,1.0,7.810955
CPI.JO,89.95559,-89.99697,1.0,4.2869234
DSY.JO,89.70305,-89.95183,1.0,10.74914
EXX.JO,-89.92351,-89.953156,1.0,7.7179556
FSR.JO,87.875725,-89.8568,1.0,11.134806
GFI.JO,-89.5572,-89.95851,2.0,7.605728
GLN.JO,-89.559265,-89.80221,1.0,7.4995728
GRT.JO,86.376976,-89.50042,2.0,16.350391
HAR.JO,-88.93213,-89.93248,1.0,10.865075
IMP.JO,89.72309,-89.956055,1.0,7.647813
INL.JO,87.61049,-89.868484,1.0,10.983462
INP.JO,88.63978,-89.87344,2.0,11.234606
KIO.JO,-89.976906,-89.97386,1.0,4.09839
MNP.JO,-89.86935,-89.976875,1.0,4.2691526
MRP.JO,89.42836,-89.97511,1.0,4.404307
MTN.JO,89.59801,-89.965324,1.0,7.681302
NED.JO,-89.40613,-89.94864,1.0,4.161522
NPN.JO,-89.99363,-89.99705,1.0,4.526327
NRP.JO,89.51304,-89.95903,1.0,10.790871
REM.JO,81.02298,-89.926994,1.0,7.456732
RLO.JO,-88.88234,-89.73241,1.0,6.779608
SBK.JO,88.528496,-89.94527,2.0,7.566411
SHP.JO,89.02834,-89.96743,1.0,4.386104
SLM.JO,88.91033,-89.8922,1.0,7.541807
SOL.JO,89.745895,-89.98861,1.0,4.3304462
VOD.JO,89.75425,-89.94165,1.0,11.185625
