,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.058825687,0.0101199,-0.030675143,0.09384299,-0.10793727,-0.03364818,-0.11622701,-0.055977255,-0.15233183,0.057003856,-0.076202475,-0.014267932,0.031891286,0.07591497,0.09582188,0.04511477,-0.039898604,0.0441865,-0.09044287,0.04817793,-0.090418555,-0.22935176,-0.077179916,0.03157744,-0.1884247,0.019546682,-0.07641476,0.067822665,0.1367938,0.07327073,0.12217903,-0.074044056
AGL.JO,-0.10708699,-0.16626534,0.12372473,-0.042806838,-0.16520561,0.061206874,0.08502521,-0.06393161,-0.01804406,0.062717356,0.24544768,-0.053643465,0.056121122,0.07111158,-0.0537044,-0.013492793,0.07367384,-0.05576524,0.057557926,0.20929189,-0.17499132,0.0034338236,0.127081,0.017265758,0.023855442,-0.19578825,-0.0333329,-0.06341524,-0.17201936,0.050597608,-0.15932868,-0.14847507
AMS.JO,-0.11351931,-0.019486716,-0.0760017,0.05526991,-0.009377564,0.024564883,-0.110897996,-0.06389517,0.05923668,-0.035590935,0.0868127,0.18668985,-0.029070914,-0.082128026,0.09883679,-0.09458377,0.09017088,0.19981754,0.119724356,-0.12045894,-0.030911053,-0.15676571,-0.08073906,0.14594449,-0.0425116,-0.028771812,-0.09580987,0.037045673,0.14446975,-0.0445855,-0.009913047,0.15034066
APN.JO,0.17080326,0.09074571,0.046425153,-0.007849668,-0.09250983,0.024166742,-0.0054706535,-0.08237097,0.04652813,0.10120163,0.08142945,-0.1476296,-0.00795116,-0.21787937,-0.123194955,-0.07224122,-0.008424953,0.13877225,-0.011776964,0.069406286,-0.065225594,-0.17374857,-0.16789775,-0.15837921,0.010797461,-0.017643228,0.09637805,-0.058861714,-0.13199216,-0.005674571,0.00917234,0.084605664
BTI.JO,-0.13991041,-0.1946563,0.008927693,0.0047873952,-0.08940667,0.01807195,-0.16773069,0.058406297,-0.18928073,0.0508851,-0.12379932,-0.1536768,-0.07143434,0.028686097,-0.22924078,-0.1992131,0.14089616,-0.115827106,0.1629668,0.11275279,0.013601065,0.12635343,-0.06648783,-0.2664692,0.06613437,0.20432448,0.1066109,0.07130807,0.024588257,0.08802793,-0.07344709,0.079204164
BVT.JO,0.13105984,-0.022455057,0.06601525,-0.09148883,-0.049375236,0.09280896,0.15438682,-0.14414082,-0.04999424,0.058193058,0.027359255,0.018302986,0.18719888,-0.07310156,-0.10189175,0.093692325,-0.118005075,-0.086023204,-0.029298693,0.06218271,0.010267079,0.081177704,0.08542546,-0.019077936,-0.09451711,0.12939088,-0.007897258,-0.027862728,-0.054205623,0.18512999,-0.0549306,0.08810207
CLS.JO,0.011999478,0.10887637,-0.04220113,-0.01517732,0.08032705,-0.018559486,-0.016589282,-0.17376548,0.11434838,0.05091385,0.08181407,-0.19576819,0.012047172,-0.066098325,-0.040413532,-0.052969288,-0.115450025,0.06691726,0.1070893,0.13020343,0.11421088,-0.20896967,-0.03463896,0.15112045,-0.07997066,0.045465175,-0.08562973,0.012068803,-0.12653534,-0.017285338,-0.030291656,-0.13672188
CPI.JO,-0.24552156,0.023268977,-0.11976433,-0.03144597,-0.094513,0.095913045,0.0818583,-0.06754128,-0.21501918,0.017103484,-0.10192001,-0.21991283,-0.10170242,0.004765421,-0.09562397,0.07886305,-0.005223319,0.021801338,0.049978357,0.027179658,0.110687114,-0.053229522,-0.04047673,-0.04669754,0.091097325,0.21071607,-0.17229138,0.048622906,-0.020033807,-0.0061070123,-0.17962962,-0.22242673
DSY.JO,-0.07042867,-0.11078882,-0.06441123,0.09901897,0.03146416,-0.0037379365,-0.04372604,0.08444055,-0.020410016,-0.14321357,0.07472995,-0.010317266,0.15566297,-0.13341844,-0.006984353,-0.14699708,-0.039329518,-0.11882643,-0.061281983,-0.17588563,-0.062073454,-0.039372634,-0.15154058,0.17162704,-0.099321134,0.041251194,0.18670177,0.15822509,0.091397375,0.14352912,-0.18782943,-0.04993707
EXX.JO,-0.09284977,0.093369894,-0.15196253,0.0701124,0.11817994,-0.053323787,0.033319782,0.03354704,-0.011796449,0.073216505,0.06339123,-0.12908722,-0.047340725,0.10211881,0.051242113,0.083433114,0.1906709,-0.039871585,0.022643754,-0.11118228,0.09734947,-0.08378201,-0.032758247,-0.08440826,-0.045138344,-0.067706764,-0.1339317,0.06262799,-0.12749787,-0.024562925,-0.086962044,0.005553171
