,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.1361068,-0.04278751,-0.03282692,0.026296547,-0.072486006,-0.07730482,0.068409204,-0.061360244,-0.017023837,-0.23606388,0.01315698,-0.18486607,0.23490338,-0.051111847,-0.15807313,-0.03573375,0.11805221,-0.051901147,0.07076412,0.13678418,-0.17986946,-0.1520328,-0.008594821,0.15404421,-0.13331981,-0.053632844,-0.063630424,0.020572737,-0.07351169,0.028722128,-0.07475692,-0.086152375
AGL.JO,0.017967453,0.08437698,-0.053819757,-0.024748141,-0.1678359,-0.004499803,0.023153761,-0.0041721365,-0.12360013,0.033815145,0.24556375,0.11357328,0.07976583,0.13032147,0.10072118,-0.013607164,0.03396089,-0.10574034,0.041533615,0.11273717,-0.0220023,-0.094497465,0.12770362,-0.0138121545,0.02291078,-0.049557835,0.07124338,0.022228733,-0.06945797,-0.048866365,-0.06750839,-0.14256948
AMS.JO,0.012485921,0.06974458,-0.0014808128,0.013555159,0.13518162,-0.101026475,-0.15332352,0.050468948,0.10862901,0.019859472,-0.22191238,0.01326409,-0.020377675,0.024156168,0.0385181,0.21392913,0.01208203,-0.03544696,-0.008657587,0.072878085,0.082703084,-0.006971071,-0.11863204,-0.10722044,0.11143903,0.013176556,0.073056266,-0.21641071,-0.076679945,0.2273183,-0.012267848,-0.10916219
APN.JO,0.18503869,-0.11950072,-0.057115287,0.11833144,-0.08253568,-0.008887768,0.11141992,0.16305082,0.15071149,-0.06806532,0.018070439,0.032152954,-0.11280093,-0.108289,-0.06871665,-0.18382569,-0.021805635,-0.15400493,-0.06774338,0.09686919,0.00799337,-0.026611859,-0.022299996,0.06415994,0.12279727,0.18393524,0.05981937,0.08558801,0.10150081,0.021977782,0.046548277,0.13059254
BTI.JO,0.07147031,0.03091091,-0.016619662,0.021900475,-0.057005044,0.077581406,0.06954507,0.04271552,-0.024223596,-0.09195435,-0.08483613,0.11080599,-0.11310262,0.08276708,0.052165207,0.03624633,0.13326867,0.06871366,-0.05959026,-0.05564413,0.020447686,0.13598427,-0.019747829,0.0104605155,0.01653938,-0.03204001,0.037085235,0.2008791,-0.04638729,0.13680106,-0.14728393,0.19324891
BVT.JO,-0.06969025,-0.05271795,-0.01618053,0.12273849,-0.008501738,-0.11846748,0.08813122,0.11435226,-0.098797254,0.012687494,0.1174135,0.0012932023,-0.06849475,-0.06460807,0.020431498,-0.1489188,-0.08867502,0.12050552,0.03313516,-0.12588465,0.15645161,-0.09422942,-0.0033203166,-0.13398807,-0.08210362,0.104644984,0.07434016,0.028582206,-0.13249081,0.016315272,-0.11423322,-0.057572722
CLS.JO,-0.046602547,0.07062859,0.10080105,0.048235234,0.11189749,0.031802874,-0.07057642,0.07080053,-0.026940698,-0.07358823,-0.03315519,0.12711573,0.24464345,0.093916945,0.16544971,-0.038300917,-0.15575492,-0.13838266,-0.019246966,0.029722163,0.03991211,0.14442344,0.051443536,-0.09867674,0.033598755,0.12011713,0.11728847,0.09872568,-0.13965167,0.1910368,0.170713,0.019771293
CPI.JO,0.09136758,-0.065104,-0.081231564,0.023607865,-0.052364815,-0.1255893,-0.04751878,-0.08002447,-0.04047915,-0.12330533,0.06939081,0.0611705,-0.024374912,0.056314107,0.09223635,-0.026436388,-0.12116998,0.00018222134,0.03448096,0.13067704,-0.2609909,0.023551315,0.035088282,0.0752801,0.086868346,0.06858938,-0.14006296,-0.051610917,-0.10401795,0.08032336,-0.04167524,0.03951202
DSY.JO,0.050782114,0.08528025,0.043327574,-0.06843122,-0.13181807,-0.092001416,0.1004784,0.013159762,-0.16370367,-0.07436814,0.036188424,-0.1718307,0.09225809,0.07542956,0.039073527,0.14838278,0.03720941,-0.025057554,0.16680591,0.03896003,0.18513054,0.008330028,0.11298156,0.23055577,-0.12271076,0.020259053,-0.013370165,0.025482083,-0.013858412,0.053607956,0.00012545288,-0.07330804
EXX.JO,-0.018784663,0.13420692,-0.021570861,-0.062442705,0.09244945,0.15840377,-0.1427314,-0.15128672,-0.10768028,0.27831092,0.15288454,0.037351247,-0.005937328,0.12859385,0.011845102,0.086241044,-0.018235246,0.15276046,-0.07801971,-0.033840463,-0.11241633,-0.13246585,-0.20065498,-0.010269438,0.012431924,-0.06617159,-0.09744293,0.046230923,-0.052848984,0.04070276,-0.13007627,-0.011530906
FSR.JO,0.14271504,-0.10882058,0.011326537,0.03961672,-0.016014963,0.04207049,-0.054622266,0.09243601,0.12619121,-0.17956233,-0.106100075,0.014038354,0.124082305,0.25920427,-0.010359635,0.24849816,0.027584136,0.06938577,-0.03132167,-0.030124987,-0.002669831,0.01289922,0.0052196034,0.18661304,0.16826876,0.17660241,-0.0754248,-0.14120989,0.059240405,-0.21336405,0.046605024,-0.13224132
GFI.JO,0.015138562,0.23092096,-0.17273748,0.20392497,-0.058183555,-0.10043386,-0.108684324,0.14732443,0.010290533,0.022474816,-0.1005609,-0.08245521,-0.03252044,0.037758797,-0.030587113,0.074351,0.089679055,-0.03487969,-0.089640774,0.032283723,-0.05282843,0.052479345,-0.018339986,-0.14925034,0.17204225,0.009415229,-0.05726716,0.07148298,0.006191393,-0.050881285,0.16270131,0.08532853
GLN.JO,0.016537318,0.1562769,-0.025630295,0.00011719763,-0.27811357,0.17873652,0.05522281,-0.12140238,0.02029939,-0.054800104,-0.018572083,-0.067411244,0.10640492,0.15591414,-0.07691949,0.07036515,-0.010222505,0.112555005,0.08850994,-0.02202054,-0.080570646,0.14551716,-0.10655901,0.1289688,-0.12886588,-0.04770953,-0.08171859,0.1022763,0.03465851,0.18259709,-0.05220911,-0.12722735
GRT.JO,-0.18282278,-0.040988117,0.15024815,0.25005874,-0.19467948,-0.042036157,0.02435488,0.12778121,0.11317449,-0.036433235,-0.078480706,0.14511074,0.12827669,0.034566518,0.1626942,-0.14697677,0.102683455,-0.11214444,0.15241909,0.038468793,0.13247369,-0.13118799,0.13301505,-0.04113968,-0.05349323,-0.1729628,0.038943667,0.049141582,0.09640815,0.07567603,0.0030941218,0.0048291483
HAR.JO,-0.0065958747,0.04251459,0.10171252,0.005479465,-0.16608316,0.0002616346,-0.09868181,0.01899138,0.023776272,0.05203456,0.0068115345,-0.019659534,-0.047837734,0.102163486,-0.045982808,-0.049000483,-0.014216214,0.01779365,-0.16758685,0.09573495,-0.057902664,-0.005425453,0.070029296,0.063376516,-0.11828313,0.17527612,0.0107381595,-0.058626603,-0.057476375,0.06443653,-0.15491934,0.1814404
IMP.JO,0.08714011,0.028550984,0.13506567,0.056785922,0.111391224,-0.09651453,-0.094278544,-0.14016525,-0.010504131,0.065237515,0.20465422,0.057723645,0.07414527,-0.1265289,-0.02780349,-0.072732896,-0.018335616,0.011504208,-0.0027013223,0.12456123,0.20326056,0.20156722,-0.023827204,0.20249212,-0.02587696,-0.101958305,0.09596766,-0.05411473,0.011455148,-0.20299786,-0.0036444068,-0.08952219
INL.JO,0.06252942,-0.04792912,-0.011169344,-0.00091099244,0.20129256,0.051629066,0.10888546,0.0011411309,-0.053221732,0.09463514,-0.1663476,0.004330049,-0.10467137,-0.17457546,-0.048009288,0.12532961,0.11373141,0.018950356,-0.064854,-0.17603628,0.03097204,-0.039733928,0.1919138,-0.011952315,-0.12394907,-0.04977644,0.03187573,0.12667422,0.04527701,0.12313702,-0.014307241,0.18187974
INP.JO,-0.07835468,-0.051391635,-0.18750803,0.114321865,0.049097996,0.01581642,-0.059150767,0.023119727,0.13762824,0.2377526,-0.13853498,-0.09817127,0.11602954,0.13982165,-0.101222225,-0.058182552,0.0058016754,-0.016573086,-0.01481692,0.073639214,-0.11041663,0.04331097,0.122398265,-0.19766091,-0.10907491,0.13152348,0.02871055,-0.08705784,0.16584267,-0.025820503,-0.018886438,-0.063619286
KIO.JO,0.038835365,0.12440711,-0.12126789,0.15760277,0.0072377375,0.08742785,-0.03790606,0.14738458,0.05625445,-0.13988069,-0.16980101,0.07269522,0.04888058,0.1032621,-0.02358213,0.058209274,-0.040670116,-0.124936946,-0.005448267,0.1018967,-0.1184482,-0.04105878,-0.1359985,0.0036393106,0.06654283,0.2686796,0.056006104,-0.085371576,-0.05016312,0.1649191,-0.036102876,-0.030058717
MNP.JO,-0.0706312,-0.07986856,0.04179658,0.018491909,-0.024545332,0.06863461,0.11869162,-0.020778725,0.119770914,0.010923848,0.04351734,-0.13477294,-0.0070949993,-0.07202036,0.1737628,-0.19857486,-0.03179453,-0.08235728,0.023127198,-0.101161,-0.22553714,-0.009393136,0.16299705,0.043663416,0.12457889,0.11481371,-0.21399055,0.1398619,0.075191565,0.10322698,0.014236282,0.00637121
MRP.JO,0.107700944,0.17834742,0.016243637,0.08646926,0.15735658,-0.082306504,-0.022691647,-0.090688206,0.0750804,-0.17755236,0.14859958,-0.036276054,0.0395783,0.019600749,-0.04751654,0.14635085,-0.0034739028,0.08018225,0.08038592,0.15083389,-0.124495514,0.06984338,0.07293928,0.04393049,0.032521117,0.014288108,-0.048663687,0.081973165,0.091513045,-0.019346505,-0.07704906,-0.038146365
