,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367938,0.0,0.12217903,0.0
AGL.JO,0.0,0.0,0.12372473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24544768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20929189,0.0,0.0,0.127081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMS.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18668985,0.0,0.0,0.0,0.0,0.0,0.19981754,0.119724356,0.0,0.0,0.0,0.0,0.14594449,0.0,0.0,0.0,0.0,0.14446975,0.0,0.0,0.15034066
APN.JO,0.17080326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10120163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTI.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14089616,0.0,0.1629668,0.11275279,0.0,0.12635343,0.0,0.0,0.0,0.20432448,0.1066109,0.0,0.0,0.0,0.0,0.0
BVT.JO,0.13105984,0.0,0.0,0.0,0.0,0.0,0.15438682,0.0,0.0,0.0,0.0,0.0,0.18719888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12939088,0.0,0.0,0.0,0.18512999,0.0,0.0
CLS.JO,0.0,0.10887637,0.0,0.0,0.0,0.0,0.0,0.0,0.11434838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1070893,0.13020343,0.11421088,0.0,0.0,0.15112045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPI.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110687114,0.0,0.0,0.0,0.0,0.21071607,0.0,0.0,0.0,0.0,0.0,0.0
DSY.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15566297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17162704,0.0,0.0,0.18670177,0.15822509,0.0,0.14352912,0.0,0.0
EXX.JO,0.0,0.0,0.0,0.0,0.11817994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10211881,0.0,0.0,0.1906709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSR.JO,0.0,0.0,0.0,0.12463781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11534923,0.0,0.0,0.16026324,0.13846515,0.0,0.0,0.0,0.19127166,0.0,0.0,0.0,0.0,0.11153894,0.0,0.11881954,0.0,0.0,0.0,0.0,0.0
GFI.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17626195,0.0,0.14924295,0.0,0.0,0.0,0.0,0.0,0.14271246,0.0,0.0,0.0,0.0,0.11703863,0.0,0.0,0.0,0.0,0.0,0.12453101,0.0,0.0,0.0,0.0,0.0
GLN.JO,0.0,0.0,0.0,0.15502481,0.0,0.2057383,0.0,0.0,0.0,0.0,0.18976359,0.1983319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16428907,0.0,0.16810323,0.0,0.0,0.0,0.0
GRT.JO,0.0,0.0,0.116102345,0.2511774,0.10416594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23852219,0.0,0.12041793,0.0,0.0,0.24230266,0.0,0.0
HAR.JO,0.0,0.1192581,0.0,0.0,0.0,0.0,0.0,0.12411424,0.0,0.10938271,0.10123155,0.0,0.10555068,0.13123406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19254941,0.0
IMP.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.17413063,0.0,0.22881626,0.0,0.0,0.14687416,0.0,0.11443624,0.0,0.0,0.0,0.20076175,0.0,0.0,0.0,0.0,0.0,0.24219249,0.0,0.0,0.0,0.0,0.13924107,0.0,0.0,0.0
INL.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22914588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10554266,0.0,0.0
INP.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22508442,0.0,0.0,0.0,0.0,0.0,0.0,0.16729885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15824546,0.0
KIO.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012503,0.0,0.0,0.0,0.0,0.0,0.0,0.1291741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNP.JO,0.0,0.0,0.159223,0.0,0.0,0.18471241,0.12209792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22318895,0.0,0.0,0.0,0.0,0.0,0.2020609,0.0,0.0,0.21169673,0.0,0.0,0.0,0.0,0.0,0.14710562
MRP.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024996,0.0,0.0,0.0,0.0,0.0,0.0,0.20709582,0.0,0.0,0.0,0.0,0.0,0.0,0.105080925,0.0,0.20437,0.0
MTN.JO,0.0,0.102535926,0.10739219,0.0,0.1503172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10089498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21247177,0.0,0.0,0.0
NED.JO,0.15101077,0.13102244,0.0,0.0,0.18453525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13961838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14371091,0.0,0.0
NPN.JO,0.10270343,0.11544445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13850771,0.0,0.0,0.0,0.0,0.0,0.0,0.103302784,0.0,0.0,0.0,0.0,0.0,0.0,0.12385998,0.0,0.0,0.0,0.0,0.15134062,0.0,0.0,0.0
NRP.JO,0.0,0.12199283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1045793,0.0,0.17285419,0.12665926,0.20088774,0.0,0.0
REM.JO,0.12495961,0.0,0.19589336,0.0,0.17328691,0.0,0.0,0.0,0.0,0.0,0.0,0.13008659,0.16406001,0.15598543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
