,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.0,0.10915834,0.0,0.0,0.0,0.16443166,0.10307012,0.0,0.101657026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10284623,0.10906255,0.0,0.0,0.18100022,0.1483726,0.0,0.13240941,0.0,0.0,0.0,0.2115082,0.0,0.0
AGL.JO,0.0,0.13021167,0.0,0.0,0.0,0.13708292,0.0,0.0,0.0,0.0,0.0,0.106182046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13133624,0.0,0.0,0.1713862,0.0,0.0,0.12918182,0.0,0.106927715,0.0,0.0,0.0,0.0
AMS.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17908,0.0,0.0,0.0,0.13015059,0.0,0.0,0.0,0.0,0.0,0.19219263,0.0,0.0,0.0
APN.JO,0.0,0.0,0.0,0.0,0.13370946,0.0,0.13062523,0.24582863,0.0,0.0,0.17505379,0.13505949,0.0,0.0,0.15088718,0.0,0.0,0.0,0.1611441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13629203,0.0,0.0,0.0
BTI.JO,0.0,0.11820056,0.0,0.0,0.0,0.0,0.0,0.14545366,0.0,0.0,0.0,0.21478753,0.0,0.0,0.0,0.0,0.1752686,0.0,0.0,0.0,0.0,0.0,0.0,0.13997635,0.0,0.16904514,0.0,0.105104305,0.0,0.0,0.0,0.0
BVT.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102588184,0.0,0.0,0.0,0.17380132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17440808,0.0,0.0,0.115658335,0.0
CLS.JO,0.0,0.14776328,0.0,0.0,0.0,0.16990303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734293,0.0,0.18674083,0.0,0.0,0.0,0.0,0.0,0.1200521,0.0,0.0,0.0,0.0,0.0,0.0,0.106009305,0.0,0.0,0.0
CPI.JO,0.0,0.13724619,0.18725343,0.21857804,0.0,0.0,0.13721894,0.15371148,0.0,0.0,0.0,0.0,0.0,0.18295097,0.0,0.0,0.0,0.0,0.0,0.16677006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSY.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19052191,0.0,0.16502433,0.0,0.0,0.0,0.2520454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18059756,0.10500576,0.0,0.22711456,0.0,0.0,0.0,0.0
EXX.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.22262406,0.11621654,0.0,0.0,0.0,0.0,0.0,0.0,0.113515235,0.0,0.18735416,0.0,0.0,0.13830106,0.0,0.0,0.0,0.0,0.0,0.0,0.13907902,0.0,0.0,0.0,0.0,0.0
FSR.JO,0.0,0.2466718,0.1172215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10065753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655742,0.0,0.13711922
GFI.JO,0.0,0.11347232,0.0,0.0,0.0,0.0,0.0,0.0,0.1563796,0.0,0.107316144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13642757,0.0,0.14563103,0.0,0.0,0.0,0.0,0.1894273,0.0,0.0,0.0,0.0,0.0
GLN.JO,0.0,0.17909281,0.0,0.17336614,0.0,0.0,0.15027958,0.13489635,0.0,0.0,0.0,0.13602568,0.0,0.0,0.0,0.0,0.0,0.0,0.12433353,0.0,0.0,0.13884372,0.0,0.0,0.0,0.0,0.14964363,0.0,0.0,0.0,0.0,0.17074744
GRT.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.114596985,0.0,0.0,0.0,0.0,0.0,0.0,0.12094062,0.17028804,0.0,0.0,0.0,0.112498336,0.11188427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAR.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14491619,0.0,0.10848105,0.0,0.0,0.119721524,0.0,0.0,0.0,0.0,0.0,0.0,0.13232498,0.0,0.0
IMP.JO,0.10320711,0.0,0.0,0.0,0.0,0.0,0.0,0.16633213,0.106253006,0.0,0.0,0.0,0.24682969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19844075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INL.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21800482,0.0,0.18856962,0.13375248,0.0,0.0,0.0,0.0,0.24012367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INP.JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11361784,0.0,0.106507175,0.0,0.0,0.14823855,0.0,0.19666807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIO.JO,0.0,0.0,0.14081277,0.22825412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560634,0.0,0.0,0.10812899,0.0,0.0,0.0,0.0,0.0,0.0,0.18510342,0.0,0.1623189,0.0,0.12047703,0.0,0.0
MNP.JO,0.103308626,0.0,0.22549325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22984475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
