,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.0,0
AGL.JO,0.12903225806451613,0.03225806451612903,0.02075268817204301,0.2132441835362092,0.0,1
AMS.JO,0.0967741935483871,0.03225806451612903,0.024731182795698924,0.11677557614587576,0.0,3
APN.JO,0.0967741935483871,0.06451612903225806,0.0857168458781362,0.2665669005072039,0.1,3
BTI.JO,0.03225806451612903,0.06451612903225806,0.0,1.382010509896096e-06,0.0,4
BVT.JO,0.0,0.03225806451612903,0.0,1.6474849103642655e-13,0.0,2
CLS.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.0,1
CPI.JO,0.0,0.12903225806451613,0.0,1.6474849103642655e-13,0.0,4
DSY.JO,0.16129032258064516,0.0967741935483871,0.13068100358422938,0.30186435285516644,0.07407407407407407,0
EXX.JO,0.12903225806451613,0.06451612903225806,0.07639784946236561,0.3150932222078702,0.1,2
FSR.JO,0.12903225806451613,0.0967741935483871,0.1086200716845878,0.40627885087033583,0.09523809523809523,3
GFI.JO,0.06451612903225806,0.03225806451612903,0.010842293906810034,0.08331937278527046,0.0,0
GLN.JO,0.06451612903225806,0.06451612903225806,0.07553763440860214,0.23137537462053195,0.0,4
GRT.JO,0.12903225806451613,0.12903225806451613,0.13071684587813617,0.24758173813382053,0.10714285714285714,3
HAR.JO,0.12903225806451613,0.06451612903225806,0.09625448028673833,0.2293539397505273,0.03333333333333333,4
IMP.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.5,5
INL.JO,0.12903225806451613,0.0967741935483871,0.15906810035842292,0.19130268438254616,0.025,3
INP.JO,0.12903225806451613,0.03225806451612903,0.1210573476702509,0.2777342300078871,0.05,5
KIO.JO,0.06451612903225806,0.0967741935483871,0.020609318996415767,7.743179078712049e-12,0.0,2
MNP.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.0,3
MRP.JO,0.06451612903225806,0.06451612903225806,0.13073476702508963,0.12097043227246353,0.08333333333333333,5
MTN.JO,0.06451612903225806,0.03225806451612903,0.013530465949820786,0.10783469285865573,0.16666666666666666,0
NED.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.0,3
NPN.JO,0.0,0.03225806451612903,0.0,1.6474849103642655e-13,0.0,4
NRP.JO,0.06451612903225806,0.0967741935483871,0.13777777777777778,0.08897865917426549,0.0,5
REM.JO,0.03225806451612903,0.06451612903225806,0.07410394265232975,0.08331937278148124,0.0,1
RLO.JO,0.0967741935483871,0.06451612903225806,0.03485663082437276,0.016880066973967114,0.05,4
SBK.JO,0.12903225806451613,0.06451612903225806,0.07378136200716845,0.06956986378872103,0.0,2
SHP.JO,0.1935483870967742,0.0967741935483871,0.08476702508960575,0.4207187998829405,0.023809523809523808,1
SLM.JO,0.03225806451612903,0.06451612903225806,0.03826164874551972,0.03875431715226985,0.0,2
SOL.JO,0.0,0.06451612903225806,0.0,1.6474849103642655e-13,0.0,0
VOD.JO,0.03225806451612903,0.0967741935483871,0.02431899641577061,0.03875431715226985,0.0,3
