,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.06451612903225806,0.12903225806451613,0.05304659498207886,0.04419432545356932,0.0,3
AGL.JO,0.0967741935483871,0.06451612903225806,0.024508448540706607,0.019195379617793478,0.05,4
AMS.JO,0.0967741935483871,0.06451612903225806,0.010731353473288956,0.03355230877165327,0.1,3
APN.JO,0.12903225806451613,0.0967741935483871,0.06805086192182967,0.06038780009475352,0.025,1
BTI.JO,0.12903225806451613,0.12903225806451613,0.08740399385560675,0.15366178531802788,0.037037037037037035,4
BVT.JO,0.12903225806451613,0.12903225806451613,0.10455026455026453,0.2385690596638483,0.07407407407407407,3
CLS.JO,0.06451612903225806,0.06451612903225806,0.04510752688172043,0.1198422140297256,0.08333333333333333,4
CPI.JO,0.0967741935483871,0.0967741935483871,0.03122589179040792,0.15841520562493558,0.06666666666666667,0
DSY.JO,0.06451612903225806,0.06451612903225806,0.02271633384536611,0.1064014397750607,0.08333333333333333,3
EXX.JO,0.1935483870967742,0.12903225806451613,0.1483427206007851,0.26277424079398604,0.022727272727272728,0
FSR.JO,0.1935483870967742,0.0967741935483871,0.05307219662058371,0.28934812069513,0.09523809523809523,2
GFI.JO,0.03225806451612903,0.0967741935483871,0.0,1.4254775770062617e-08,0.0,0
GLN.JO,0.0,0.16129032258064516,0.0,3.3986033845097105e-15,0.05,0
GRT.JO,0.06451612903225806,0.0967741935483871,0.019183307731694826,0.07037827100195612,0.2,1
HAR.JO,0.06451612903225806,0.16129032258064516,0.10654847243556922,0.12523973893531878,0.047619047619047616,1
IMP.JO,0.22580645161290322,0.12903225806451613,0.11486388462194914,0.2090345264784916,0.05555555555555555,1
INL.JO,0.06451612903225806,0.06451612903225806,0.035444188428059395,0.06217760804538992,0.08333333333333333,1
INP.JO,0.0,0.12903225806451613,0.0,3.3986033845097105e-15,0.0,4
KIO.JO,0.0967741935483871,0.12903225806451613,0.08762160778289811,0.06136092683687928,0.0,3
MNP.JO,0.0967741935483871,0.0967741935483871,0.052199180747567846,0.19384453288493764,0.0,1
MRP.JO,0.03225806451612903,0.0967741935483871,0.010503072196620585,0.039807772533397116,0.16666666666666666,4
MTN.JO,0.25806451612903225,0.06451612903225806,0.02915130568356375,0.4206737978533077,0.07142857142857142,3
NED.JO,0.16129032258064516,0.06451612903225806,0.06703149001536099,0.22388730453794337,0.14285714285714285,4
NPN.JO,0.06451612903225806,0.06451612903225806,0.022580645161290318,0.07941191434812085,0.08333333333333333,2
NRP.JO,0.1935483870967742,0.0967741935483871,0.12256528417818739,0.3770366038703311,0.08571428571428572,4
REM.JO,0.0967741935483871,0.0967741935483871,0.09824884792626729,0.13265804452052604,0.16666666666666666,4
RLO.JO,0.03225806451612903,0.12903225806451613,0.025657108721624855,0.06644360043406695,0.1111111111111111,1
SBK.JO,0.16129032258064516,0.06451612903225806,0.05302013995562383,0.18576445057634955,0.07142857142857142,2
SHP.JO,0.12903225806451613,0.16129032258064516,0.09834272060078514,0.0961777348923961,0.041666666666666664,0
SLM.JO,0.03225806451612903,0.12903225806451613,0.007508960573476702,7.816787784372332e-14,0.05,0
SOL.JO,0.1935483870967742,0.12903225806451613,0.17531703362348525,0.39401801412851695,0.05357142857142857,2
VOD.JO,0.06451612903225806,0.0967741935483871,0.014703874381293735,0.03355230877079343,0.1,3
