,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.0,0.03225806451612903,0.0,8.925501418816497e-16,0.0,0
AGL.JO,0.03225806451612903,0.0967741935483871,0.022258064516129033,0.03994017297794353,0.0,2
AMS.JO,0.25806451612903225,0.0967741935483871,0.16702508960573476,0.346122184472116,0.06481481481481481,2
APN.JO,0.06451612903225806,0.0967741935483871,0.04157706093189965,0.13880866754134494,0.0,3
BTI.JO,0.0,0.06451612903225806,0.0,8.925501418816497e-16,0.0,4
BVT.JO,0.03225806451612903,0.0967741935483871,0.011469534050179213,0.09690078568483332,0.16666666666666666,3
CLS.JO,0.0,0.06451612903225806,0.0,8.925501418816497e-16,0.0,0
CPI.JO,0.12903225806451613,0.06451612903225806,0.031039426523297487,0.11524674392300926,0.06666666666666667,2
DSY.JO,0.03225806451612903,0.06451612903225806,0.012186379928315411,0.10051769794003951,0.0,5
EXX.JO,0.03225806451612903,0.0967741935483871,0.09354838709677421,0.12266346980066388,0.0,3
FSR.JO,0.0,0.06451612903225806,0.0,8.925501418816497e-16,1.0,2
GFI.JO,0.0967741935483871,0.0967741935483871,0.1032616487455197,0.2044143434009115,0.0,3
GLN.JO,0.29032258064516125,0.06451612903225806,0.15301075268817205,0.3086987055683299,0.009259259259259259,0
GRT.JO,0.03225806451612903,0.06451612903225806,0.012186379928315413,0.039624560707424684,0.0,4
HAR.JO,0.12903225806451613,0.0967741935483871,0.1231182795698925,0.24386113691578754,0.075,3
IMP.JO,0.0,0.06451612903225806,0.0,8.925501418816497e-16,0.0,4
INL.JO,0.12903225806451613,0.06451612903225806,0.09444444444444443,0.28085455628875056,0.06666666666666667,5
INP.JO,0.16129032258064516,0.06451612903225806,0.17444444444444443,0.38365703679858004,0.075,1
KIO.JO,0.0967741935483871,0.0967741935483871,0.07989247311827957,0.09971869680501473,0.03333333333333333,2
MNP.JO,0.03225806451612903,0.06451612903225806,0.01652329749103943,0.08122355034510081,0.0,3
MRP.JO,0.1935483870967742,0.0967741935483871,0.16702508960573476,0.25018121662494025,0.07142857142857142,4
MTN.JO,0.0967741935483871,0.03225806451612903,0.022544802867383515,0.08764647960437742,0.0,2
NED.JO,0.0967741935483871,0.12903225806451613,0.08186379928315413,0.14491984867895233,0.0,3
NPN.JO,0.0,0.03225806451612903,0.0,8.925501418816497e-16,0.0,0
NRP.JO,0.03225806451612903,0.06451612903225806,0.06688172043010754,0.10051769794003951,0.0,2
REM.JO,0.03225806451612903,0.12903225806451613,0.06301075268817204,0.09941287854420815,0.05,0
RLO.JO,0.03225806451612903,0.12903225806451613,0.05734767025089606,0.11160000442794088,0.15,2
SBK.JO,0.12903225806451613,0.03225806451612903,0.029534050179211468,0.1982478090830298,0.05,5
SHP.JO,0.0,0.06451612903225806,0.0,8.925501418816497e-16,0.0,1
SLM.JO,0.0967741935483871,0.12903225806451613,0.18143369175627239,0.25296811179931705,0.0,1
SOL.JO,0.06451612903225806,0.0967741935483871,0.047992831541218646,0.1208481110525246,0.05,0
VOD.JO,0.16129032258064516,0.03225806451612903,0.04745519713261649,0.3593997438794793,0.07142857142857142,1
