,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.06451612903225806,0.03225806451612903,0.018870967741935484,0.12553791032186892,0.16666666666666666,0
AGL.JO,0.0967741935483871,0.03225806451612903,0.0079621095750128,0.14575227099988255,0.08333333333333333,5
AMS.JO,0.0,0.06451612903225806,0.0,1.6416477045964735e-16,0.5,2
APN.JO,0.22580645161290322,0.0967741935483871,0.09129288274449567,0.26597911097168303,0.045454545454545456,2
BTI.JO,0.0967741935483871,0.0967741935483871,0.034482846902201734,0.2105119338127819,0.10714285714285714,2
BVT.JO,0.06451612903225806,0.0967741935483871,0.05743727598566309,0.1090423359297807,0.05,0
CLS.JO,0.0,0.12903225806451613,0.0,1.6416477045964735e-16,0.08333333333333333,2
CPI.JO,0.0967741935483871,0.16129032258064516,0.06453405017921147,0.06258944008802561,0.125,4
DSY.JO,0.03225806451612903,0.0967741935483871,0.00939068100358423,0.06980654740752093,0.25,4
EXX.JO,0.1935483870967742,0.1935483870967742,0.08533282130056322,0.2586330258324761,0.08888888888888889,1
FSR.JO,0.16129032258064516,0.03225806451612903,0.013589349718381978,0.23464636476410186,0.14285714285714285,1
GFI.JO,0.0967741935483871,0.06451612903225806,0.028200204813108042,0.07351777719154853,0.1111111111111111,6
GLN.JO,0.06451612903225806,0.06451612903225806,0.010750128008192524,0.12203787682121393,0.16666666666666666,0
GRT.JO,0.03225806451612903,0.16129032258064516,0.02364055299539171,0.020827723363542498,0.03333333333333333,3
HAR.JO,0.12903225806451613,0.12903225806451613,0.23508704557091653,0.2514444988944056,0.12962962962962962,2
IMP.JO,0.0967741935483871,0.16129032258064516,0.10868663594470046,0.13183530572155072,0.10714285714285714,6
INL.JO,0.06451612903225806,0.0967741935483871,0.06346134152585767,0.1273826786478487,0.15,6
INP.JO,0.1935483870967742,0.12903225806451613,0.15539170506912445,0.2320254484318622,0.1,3
KIO.JO,0.12903225806451613,0.03225806451612903,0.042483358934971835,0.18730404209839346,0.2,5
MNP.JO,0.06451612903225806,0.12903225806451613,0.07017921146953403,0.0984988721146971,0.06666666666666667,3
MRP.JO,0.12903225806451613,0.12903225806451613,0.0792677931387609,0.21427348069543792,0.14285714285714285,1
MTN.JO,0.06451612903225806,0.03225806451612903,0.02795698924731183,0.13045251267461697,0.3333333333333333,4
NED.JO,0.22580645161290322,0.0967741935483871,0.04588581669226831,0.39654553082994326,0.03571428571428571,0
NPN.JO,0.12903225806451613,0.0967741935483871,0.04879160266257041,0.13568980342583822,0.07142857142857142,6
NRP.JO,0.12903225806451613,0.0967741935483871,0.05130824372759857,0.16039002873857683,0.1,2
REM.JO,0.06451612903225806,0.0967741935483871,0.04635432667690733,0.08312925516493729,0.1,2
RLO.JO,0.22580645161290322,0.03225806451612903,0.06534818228366615,0.3211436738078801,0.10714285714285714,2
SBK.JO,0.0967741935483871,0.1935483870967742,0.16239631336405533,0.18536732885285276,0.1,3
SHP.JO,0.12903225806451613,0.1935483870967742,0.1297542242703533,0.2233510767865222,0.13636363636363635,6
SLM.JO,0.0967741935483871,0.12903225806451613,0.050826932923707116,0.15613059919211913,0.11904761904761904,6
SOL.JO,0.0967741935483871,0.12903225806451613,0.08620071684587816,0.06664025140874567,0.1,3
VOD.JO,0.03225806451612903,0.0967741935483871,0.02169482846902201,0.041204351497883956,0.16666666666666666,6
