StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,89.42817,89.15754,5.0,5.0442896
AGL.JO,-89.919426,-89.87623,5.0,4.999471
AMS.JO,-89.93013,-89.748985,5.0,4.994687
APN.JO,86.0533,-89.52863,5.0,4.992726
BTI.JO,89.66011,-89.52001,5.0,4.9912596
BVT.JO,89.47963,89.43206,5.0,5.0072036
CLS.JO,88.72334,-89.39286,5.0,4.9888377
CPI.JO,89.97358,-89.590034,5.0,5.006719
DSY.JO,89.432014,89.35196,5.0,5.014288
EXX.JO,-89.88817,-89.844826,5.0,5.0681458
FSR.JO,85.81818,84.161514,5.0,5.039344
GFI.JO,-89.43782,-89.141426,5.0,5.0495343
GLN.JO,-89.097755,-88.72041,5.0,5.13397
GRT.JO,86.29742,86.19842,5.0,5.014961
HAR.JO,78.461235,86.04813,5.0,5.030277
IMP.JO,-89.76989,-89.69481,5.0,4.999753
INL.JO,88.854744,88.64755,5.0,5.0421233
INP.JO,88.68149,88.56941,5.0,5.0620847
KIO.JO,-89.8992,-89.846886,5.0,4.9933653
MNP.JO,89.44174,-11.207831,5.0,4.9902234
MRP.JO,89.39244,88.849495,5.0,5.003138
MTN.JO,-80.2079,-86.73099,5.0,5.001645
NED.JO,87.20165,-89.582214,5.0,4.997697
NPN.JO,-89.98019,-89.974884,5.0,5.0017557
NRP.JO,88.63598,86.736694,5.0,5.0105944
REM.JO,88.972305,-80.29075,5.0,4.988463
RLO.JO,-70.94819,33.45325,5.0,5.012679
SBK.JO,88.38808,87.19939,5.0,5.013967
SHP.JO,89.51124,-88.25436,5.0,4.988726
SLM.JO,-88.02161,-87.49243,5.0,5.01114
SOL.JO,87.76992,88.286766,5.0,5.0266213
VOD.JO,89.30665,89.29165,5.0,5.0259166
ABG.JO,89.42817,89.43677,5.0,5.068613
AGL.JO,-89.919426,-89.918205,5.0,4.975414
AMS.JO,-89.93013,-89.947,5.0,4.947062
APN.JO,86.0533,68.78951,5.0,4.9706535
BTI.JO,89.66011,89.71447,5.0,4.9836087
BVT.JO,89.47963,89.67178,5.0,5.0143323
CLS.JO,88.72334,88.88557,5.0,4.9809327
CPI.JO,89.97358,89.96658,5.0,4.9995475
DSY.JO,89.432014,89.45172,5.0,5.0241327
EXX.JO,-89.88817,-89.87539,5.0,4.906947
FSR.JO,85.81818,86.52748,5.0,5.031914
GFI.JO,-89.43782,-89.60515,5.0,4.965614
GLN.JO,-89.097755,-89.35433,5.0,4.977373
GRT.JO,86.29742,86.7726,5.0,5.0289574
HAR.JO,78.461235,-87.62677,5.0,4.984597
IMP.JO,-89.76989,-89.77868,5.0,4.9743853
INL.JO,88.854744,87.75844,5.0,5.000906
INP.JO,88.68149,86.87563,5.0,5.007706
KIO.JO,-89.8992,-89.90851,5.0,4.950741
MNP.JO,89.44174,89.327995,5.0,4.966831
