StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,-88.7196,89.38125,2.0,1.3224444
AGL.JO,89.94563,89.16633,1.0,1.0474626
AMS.JO,-89.921455,-89.97329,1.0,1.0428927
APN.JO,84.80369,-89.8721,1.0,1.0303081
BTI.JO,-89.93238,-88.78478,1.0,1.1191529
BVT.JO,-63.435658,89.43969,1.0,1.0635861
CLS.JO,88.66692,89.82321,1.0,1.0932921
CPI.JO,-89.95988,89.64583,1.0,1.0206454
DSY.JO,-89.52895,-89.26018,1.0,1.1325202
EXX.JO,89.93852,-89.58608,1.0,1.0810541
FSR.JO,-88.97543,73.80795,1.0,1.0702262
GFI.JO,89.83362,89.6949,1.0,1.1035819
GLN.JO,89.660965,86.9186,1.0,1.1864954
GRT.JO,-87.389496,87.681206,1.0,1.629875
HAR.JO,89.00044,88.52646,1.0,1.143289
IMP.JO,89.71196,-89.35517,1.0,1.0772008
INL.JO,88.49024,72.93098,2.0,1.5112486
INP.JO,89.038666,79.642944,2.0,1.5046499
KIO.JO,89.93243,-86.99333,1.0,1.0315787
MNP.JO,-89.02344,-14.74853,1.0,1.0377634
MRP.JO,-89.895905,-89.833725,1.0,1.0375035
MTN.JO,-89.703606,-89.78065,2.0,1.5604086
NED.JO,-89.73583,-89.54368,1.0,1.0281104
NPN.JO,-89.97483,-89.94261,1.0,1.0464103
NRP.JO,-88.78105,-89.44156,2.0,1.5172644
REM.JO,-89.63643,88.225334,1.0,1.0885408
RLO.JO,-88.02215,89.06729,2.0,1.0571262
SBK.JO,89.48904,88.99596,2.0,1.0471025
SHP.JO,-89.807816,-89.42914,1.0,1.0315715
SLM.JO,-88.95655,85.6883,1.0,1.0980645
SOL.JO,-89.87885,-89.94674,1.0,1.027626
VOD.JO,-89.723206,-88.90439,1.0,1.192593
ABG.JO,89.67926,89.5289,1.0,1.1878283
AGL.JO,89.92076,89.71499,1.0,1.0420257
AMS.JO,89.96537,-89.97644,1.0,1.0332929
APN.JO,89.69294,-89.85337,1.0,1.0312904
BTI.JO,89.977486,-89.91274,1.0,1.0504876
BVT.JO,89.58744,89.36607,1.0,1.0635809
CLS.JO,89.909515,86.90383,1.0,1.0616894
CPI.JO,-88.686844,-89.74604,1.0,1.024005
DSY.JO,87.47317,-89.1869,1.0,1.1101629
EXX.JO,89.8934,80.85671,1.0,1.0569799
FSR.JO,88.42108,-74.27769,2.0,1.1339934
GFI.JO,89.74188,89.75244,2.0,1.0952
GLN.JO,89.76059,88.87142,1.0,1.1802063
GRT.JO,77.86921,87.66132,2.0,1.242929
HAR.JO,89.34375,88.76682,1.0,1.1494393
IMP.JO,89.813896,-89.201866,1.0,1.0666919
INL.JO,89.75158,-74.97184,1.0,1.2139984
INP.JO,89.770836,-73.83963,1.0,1.2189177
KIO.JO,-89.52536,89.549965,1.0,1.0294918
MNP.JO,89.94619,-89.455414,1.0,1.0291024
MRP.JO,89.53994,-89.879395,1.0,1.023695
MTN.JO,-89.89333,-89.825935,1.0,1.1617329
NED.JO,89.544365,-89.639206,1.0,1.0345373
NPN.JO,-89.998116,-89.976585,1.0,1.0477072
NRP.JO,89.177574,-89.634094,1.0,1.2054355
REM.JO,-85.912346,-71.274574,1.0,1.1431609
RLO.JO,-88.02215,88.68147,2.0,1.5821581
SBK.JO,89.48904,89.24536,2.0,1.3875554
SHP.JO,89.52618,-89.73213,1.0,1.0247698
SLM.JO,88.37601,87.11744,2.0,1.0963372
SOL.JO,89.91965,-89.93953,1.0,1.031948
VOD.JO,-89.82967,-89.34121,1.0,1.146939
