,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.0019399966,0.004571518,0.0037157373,0.00040780188,0.0006807181,0.00040780188,0.00040780188,0.00040780188,0.00040780188,0.0009033647,0.00040780188,0.00040780188,0.79354155,0.012850819,0.037204888,0.0051154476,0.00040780188,0.00040780188,0.0005139852,0.008386766,0.00040780188,0.01985706,0.00834332,0.0033796022,0.00040780188,0.0144222835,0.00040780188,0.0027989938,0.00040780188,0.00040780188,0.07565689,0.00040780188
AGL.JO,0.009110739,0.0015886911,0.0015886911,0.0021118405,0.0015886911,0.0015886911,0.0015886911,0.0017308281,0.003897239,0.020598693,0.0015886911,0.0015886911,0.036631424,0.0015886911,0.0027805376,0.019379726,0.0015886911,0.09316389,0.42949432,0.0047989553,0.0015886911,0.10724622,0.0015886911,0.0036660123,0.0015886911,0.0016852578,0.0057263854,0.23127228,0.0028752368,0.0015886911,0.0015886911,0.0015886911
AMS.JO,0.0058412035,0.0058412035,0.0058412035,0.009502425,0.006433649,0.0587726,0.022949101,0.069669135,0.0058412035,0.0058412035,0.098029405,0.0058412035,0.0058412035,0.0058412035,0.1967828,0.0058412035,0.19372855,0.0058412035,0.0058412035,0.009774402,0.13153656,0.0058412035,0.0058412035,0.0058412035,0.0058412035,0.0073837154,0.011542592,0.0058412035,0.0058412035,0.0058412035,0.0058412035,0.0729122
APN.JO,0.012006332,0.012006332,0.012006332,0.03986232,0.018998628,0.012006332,0.017015334,0.16134226,0.037717443,0.04591853,0.012006332,0.12046854,0.12296981,0.012006332,0.012006332,0.012006332,0.012006332,0.028132247,0.08482302,0.019296223,0.012006332,0.026924666,0.041547902,0.012006332,0.012006332,0.012006332,0.01482552,0.016049916,0.012006332,0.012006332,0.012006332,0.012006332
BTI.JO,9.207526e-05,4.5382985e-05,0.0011731212,0.00063688774,4.5382985e-05,0.0009459146,0.009755028,0.16720565,0.000698618,4.5382985e-05,9.623268e-05,6.450795e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,0.00021276998,0.00016879715,4.5382985e-05,0.8167871,4.5382985e-05,0.0011705486,4.5382985e-05,0.00017581563,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05,4.5382985e-05
BVT.JO,0.0024644702,0.07988112,0.33635288,0.0024644702,0.0446115,0.0024644702,0.0024644702,0.0024644702,0.0024644702,0.0024644702,0.0024644702,0.04371698,0.12989284,0.095869415,0.031716324,0.020521812,0.0024644702,0.0024644702,0.0063618836,0.003128875,0.0024644702,0.0025506527,0.0058430806,0.016201332,0.02759878,0.0024644702,0.0024644702,0.1089489,0.0024644702,0.004810578,0.0050260066,0.0024644702
CLS.JO,0.000698072,0.021242138,0.009524521,0.001066617,0.000698072,0.007728641,0.000698072,0.000698072,0.000698072,0.000698072,0.0064670118,0.017015317,0.63890976,0.000698072,0.20268834,0.009030218,0.000698072,0.000698072,0.000698072,0.003071331,0.000698072,0.008030133,0.0018712088,0.03101945,0.000698072,0.01653667,0.0034513467,0.01107685,0.000698072,0.000698072,0.00079939,0.000698072
CPI.JO,0.002532559,0.02022609,0.5054346,0.022972029,0.0062351646,0.002532559,0.018971102,0.002532559,0.002532559,0.002532559,0.002532559,0.017282946,0.00773642,0.002532559,0.0058798413,0.002532559,0.1664855,0.08368603,0.002532559,0.002532559,0.002532559,0.002532559,0.07349607,0.013013393,0.002532559,0.0071893823,0.005425433,0.002532559,0.002532559,0.0029125663,0.002532559,0.002532559
DSY.JO,6.587098e-05,6.587098e-05,0.033679098,6.587098e-05,6.587098e-05,0.00020701594,0.0048435805,6.587098e-05,6.587098e-05,6.587098e-05,6.587098e-05,6.587098e-05,6.587098e-05,0.015632994,6.587098e-05,6.587098e-05,0.71085095,6.587098e-05,6.587098e-05,0.00010078611,6.587098e-05,6.587098e-05,0.039431352,6.587098e-05,0.010058529,6.587098e-05,6.587098e-05,6.587098e-05,6.587098e-05,6.587098e-05,0.038712572,0.14503399
EXX.JO,0.0057466435,0.0057466435,0.0057466435,0.0057466435,0.029996496,0.04625102,0.0057466435,0.011477831,0.0057466435,0.0057466435,0.04903503,0.13258891,0.33452478,0.02859549,0.10123482,0.025384644,0.0057466435,0.0057466435,0.0057466435,0.01543197,0.009143137,0.011751841,0.018405879,0.019939955,0.0057466435,0.0057466435,0.0057466435,0.068545304,0.0057466435,0.0057466435,0.0057466435,0.0057466435
