,ABG.JO,AGL.JO,AMS.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,HAR.JO,IMP.JO,INL.JO,INP.JO,KIO.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RLO.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO
ABG.JO,0.00047020428,0.0004692729,0.0004692729,0.0010966143,0.043536335,0.000829838,0.0004692729,0.0004692729,0.0004692729,0.0012388037,0.0004692729,0.0004692729,0.0035466827,0.004676001,0.0004692729,0.562329,0.0004692729,0.0014000619,0.0004692729,0.0004692729,0.0004692729,0.0004692729,0.0033303737,0.0004692729,0.0010684131,0.0009171184,0.0004692729,0.0004692729,0.14874524,0.0004692729,0.21836856,0.0004692729
AGL.JO,0.00992385,0.03976902,0.055745058,0.01886031,0.00992385,0.00992385,0.097632565,0.016442401,0.013601623,0.00992385,0.04498724,0.00992385,0.00992385,0.00992385,0.08157654,0.00992385,0.016270624,0.00992385,0.00992385,0.01356206,0.00992385,0.081173114,0.056917634,0.00992385,0.00992385,0.00992385,0.00992385,0.00992385,0.00992385,0.06642588,0.013885141,0.2144454
AMS.JO,0.0007989126,0.004713627,0.00018397976,0.0016524169,0.011781176,0.00055844244,0.00018397976,0.0075413254,0.018711207,0.00018651328,0.00036315902,0.00018397976,0.0009541254,0.00018397976,0.00018397976,0.21473415,0.00018397976,0.0047799586,0.004732184,0.00018397976,0.00018397976,0.00018397976,0.00018397976,0.0028599317,0.70567733,0.00018397976,0.00018397976,0.010255316,0.006719276,0.00018397976,0.00040527908,0.00018397976
APN.JO,0.013309502,0.22978114,0.01077592,0.1551909,0.006953104,0.0034106427,0.0034106427,0.0034106427,0.0034106427,0.0040847654,0.0034106427,0.0034106427,0.0034106427,0.0034106427,0.0034106427,0.014815923,0.0034106427,0.028940668,0.0034106427,0.039895754,0.0034106427,0.0034106427,0.0034106427,0.20759659,0.1328146,0.006624203,0.0034106427,0.012160276,0.017003084,0.0034106427,0.05969872,0.005784638
BTI.JO,0.0022882347,0.0022882347,0.0022882347,0.0022882347,0.07854704,0.0073729814,0.0022882347,0.050983083,0.0033517354,0.0022882347,0.0047017797,0.0022882347,0.0022882347,0.0048217555,0.01045974,0.48116386,0.0022882347,0.0022882347,0.02997929,0.0022882347,0.003109593,0.0022882347,0.010600131,0.039360903,0.0022882347,0.0029731651,0.0022882347,0.22104733,0.0034633488,0.0035200533,0.008979637,0.0035292718
BVT.JO,0.005113711,0.005113711,0.005113711,0.0075824643,0.07772053,0.005113711,0.005113711,0.25207156,0.014623414,0.005113711,0.005113711,0.005113711,0.0065479777,0.012036799,0.005113711,0.20346965,0.005113711,0.04396424,0.005113711,0.007920147,0.005113711,0.005113711,0.07366495,0.005113711,0.011534358,0.005471794,0.005113711,0.005113711,0.17386328,0.005973942,0.01662184,0.005113711
CLS.JO,0.09549106,0.013799611,0.0020915621,0.0020915621,0.019021919,0.028396577,0.0020915621,0.017184565,0.03407422,0.0020915621,0.0020915621,0.0020915621,0.0020915621,0.0032861033,0.0020915621,0.042096335,0.0041455724,0.0020915621,0.35204366,0.010899404,0.0020915621,0.0020915621,0.0062606903,0.021372763,0.12212267,0.0021569761,0.0020915621,0.1856358,0.0020915621,0.0020915621,0.010638683,0.0020915621
CPI.JO,0.069875,0.00041099903,0.00041099903,0.0062141176,0.0009717456,0.013617826,0.00041099903,0.00041099903,0.00041099903,0.0044063204,0.0008679385,0.00041099903,0.00041099903,0.0019992364,0.0013895096,0.5555188,0.00041099903,0.00041099903,0.00041099903,0.0118339425,0.0008941415,0.00041099903,0.003915612,0.0038458384,0.00041099903,0.00041099903,0.00041099903,0.19422129,0.00070260017,0.00041099903,0.123150125,0.00041099903
DSY.JO,0.0016549003,0.0015765016,0.0015765016,0.034974195,0.0051806364,0.0015765016,0.0015765016,0.003315604,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.7955929,0.0015765016,0.054465678,0.0015765016,0.03188124,0.0015765016,0.0015765016,0.0032980384,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.0015765016,0.018533811,0.0015765016,0.013188134,0.0048084212
EXX.JO,0.0022039965,0.0027540997,0.0044990606,0.0022039965,0.094893344,0.0022039965,0.0022039965,0.012174904,0.6183236,0.0022039965,0.0031912809,0.0022039965,0.073077664,0.009175921,0.0022039965,0.032531023,0.004728687,0.02307027,0.0031006,0.0022039965,0.0022039965,0.0022039965,0.0022559173,0.0022039965,0.011644816,0.0022039965,0.0047694026,0.0022039965,0.06454539,0.0022039965,0.0022039965,0.0022039965
