,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.5806451612903225,0.5806451612903225,0.026171737443597267,0.258262731296113,0.6397058823529411,1
AGL.JO,0.4838709677419355,0.4838709677419355,0.014169012093804514,0.22494839152369975,0.7362637362637363,1
AMS.JO,0.4838709677419355,0.4838709677419355,0.017353286305207955,0.20721849760348274,0.7032967032967034,1
APN.JO,0.3225806451612903,0.3225806451612903,0.013081824985050788,0.06621927600896153,0.6111111111111112,2
BTI.JO,0.29032258064516125,0.29032258064516125,0.008013937485165106,0.06336893387057328,0.6785714285714286,2
BVT.JO,0.4193548387096774,0.4193548387096774,0.024927629890610366,0.14773993422186993,0.6212121212121212,3
CLS.JO,0.3548387096774194,0.3548387096774194,0.024049206578359458,0.09277771599572675,0.5111111111111111,2
CPI.JO,0.4193548387096774,0.4193548387096774,0.019234523499841505,0.1665949850918405,0.6818181818181818,1
DSY.JO,0.5161290322580645,0.5161290322580645,0.018079348197100113,0.2337456608464141,0.6857142857142857,1
EXX.JO,0.45161290322580644,0.45161290322580644,0.020484743135095376,0.14664973083259422,0.6153846153846154,3
FSR.JO,0.3870967741935484,0.3870967741935484,0.022209343514435983,0.14784212579538272,0.6,3
GFI.JO,0.5806451612903225,0.5806451612903225,0.0443591735592319,0.25038321564127164,0.5735294117647058,1
GLN.JO,0.3225806451612903,0.3225806451612903,0.028998476153014815,0.07284009678127061,0.5,2
GRT.JO,0.5161290322580645,0.5161290322580645,0.02426554752367275,0.23381264980591426,0.6571428571428571,1
HAR.JO,0.4838709677419355,0.4838709677419355,0.042103135359301706,0.19068942880372533,0.5934065934065934,1
IMP.JO,0.4838709677419355,0.4838709677419355,0.014169012093804514,0.22494839152369975,0.7362637362637363,1
INL.JO,0.3225806451612903,0.3225806451612903,0.007857472499808062,0.08152346053850175,0.6944444444444444,3
INP.JO,0.4838709677419355,0.4838709677419355,0.025135309088590508,0.17473556448756725,0.6153846153846154,3
KIO.JO,0.4193548387096774,0.4193548387096774,0.02157448443786892,0.1696817716770339,0.6818181818181818,1
MNP.JO,0.3870967741935484,0.3870967741935484,0.018330459418258328,0.15759981334056106,0.5818181818181818,0
MRP.JO,0.5483870967741935,0.5483870967741935,0.02521246738069969,0.24995983550271034,0.6333333333333333,0
MTN.JO,0.3548387096774194,0.3548387096774194,0.02362807266861825,0.0917438981090333,0.5555555555555556,2
NED.JO,0.3548387096774194,0.3548387096774194,0.02363097147453779,0.11674790664801443,0.5111111111111111,2
NPN.JO,0.4838709677419355,0.4838709677419355,0.011321005730320756,0.2181873866696095,0.7472527472527473,1
NRP.JO,0.4838709677419355,0.4838709677419355,0.03795438707493843,0.13311173041178323,0.5274725274725275,2
REM.JO,0.3870967741935484,0.3870967741935484,0.016495447983247646,0.11939203491526253,0.6727272727272727,3
RLO.JO,0.5483870967741935,0.5483870967741935,0.030646101769589193,0.2490160563867402,0.6083333333333333,0
SBK.JO,0.3870967741935484,0.3870967741935484,0.027593654783651878,0.0889815832593737,0.509090909090909,2
SHP.JO,0.4838709677419355,0.4838709677419355,0.03411622349558836,0.19391856398824886,0.5274725274725275,0
SLM.JO,0.3548387096774194,0.3548387096774194,0.005858705388900437,0.16139150773724634,0.7333333333333333,0
SOL.JO,0.5483870967741935,0.5483870967741935,0.032991246349140614,0.22807700496371985,0.5916666666666667,3
VOD.JO,0.4193548387096774,0.4193548387096774,0.01426362253142008,0.15820163187842567,0.6666666666666666,3
