,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality_or_pagerank,local_clustering_coeff,community_id
ABG.JO,0.6129032258064516,0.6129032258064516,0.021019902646446167,0.2708010721928039,0.6601307189542484,2
AGL.JO,0.4193548387096774,0.4193548387096774,0.019338357595378688,0.10875594457250513,0.6212121212121212,1
AMS.JO,0.4838709677419355,0.4838709677419355,0.07796694599411008,0.15779384067598798,0.4725274725274725,3
APN.JO,0.5161290322580645,0.5161290322580645,0.020688635451958145,0.2237522153137421,0.6571428571428571,2
BTI.JO,0.3548387096774194,0.3548387096774194,0.015837558828018933,0.06671725854664433,0.6222222222222222,3
BVT.JO,0.5483870967741935,0.5483870967741935,0.022893254742170216,0.24100265409307434,0.6833333333333333,0
CLS.JO,0.4838709677419355,0.4838709677419355,0.00564045234163568,0.22718943763794638,0.8131868131868132,0
CPI.JO,0.45161290322580644,0.45161290322580644,0.026776029004223423,0.15076114949367503,0.5769230769230769,1
DSY.JO,0.5161290322580645,0.5161290322580645,0.010691222373642055,0.23726156746597205,0.7523809523809524,0
EXX.JO,0.5161290322580645,0.5161290322580645,0.03092408045002974,0.2109800591893663,0.580952380952381,1
FSR.JO,0.5483870967741935,0.5483870967741935,0.030875427765997818,0.23747148757215403,0.6666666666666666,2
GFI.JO,0.29032258064516125,0.29032258064516125,0.0023483395383362207,0.05000303872143046,0.8214285714285714,3
GLN.JO,0.3548387096774194,0.3548387096774194,0.00979658720757993,0.08160016152628843,0.7111111111111111,1
GRT.JO,0.45161290322580644,0.45161290322580644,0.03955153381406723,0.11398316833224377,0.47435897435897434,1
HAR.JO,0.4193548387096774,0.4193548387096774,0.01997144454403282,0.08339629699289242,0.6060606060606061,3
IMP.JO,0.45161290322580644,0.45161290322580644,0.028632702214499494,0.08966450094598587,0.5897435897435898,3
INL.JO,0.4838709677419355,0.4838709677419355,0.01705304115947308,0.21804779477276443,0.7472527472527473,0
INP.JO,0.5161290322580645,0.5161290322580645,0.012015588346042879,0.23260904913103,0.7428571428571429,2
KIO.JO,0.3870967741935484,0.3870967741935484,0.016467442083195217,0.082233501383438,0.6181818181818182,3
MNP.JO,0.4838709677419355,0.4838709677419355,0.008248286985993818,0.2245352469034321,0.8021978021978022,0
MRP.JO,0.3870967741935484,0.3870967741935484,0.012901549507138826,0.16062541940331712,0.6363636363636364,2
MTN.JO,0.45161290322580644,0.45161290322580644,0.028634341762110438,0.171205144490581,0.5641025641025641,1
NED.JO,0.5161290322580645,0.5161290322580645,0.06793292249742901,0.19549420952517577,0.5142857142857142,0
NPN.JO,0.45161290322580644,0.45161290322580644,0.026207395720538266,0.17222487142096374,0.5769230769230769,1
NRP.JO,0.4193548387096774,0.4193548387096774,0.01914337181842916,0.1701973269322055,0.6363636363636364,2
REM.JO,0.3225806451612903,0.3225806451612903,0.019134247847701395,0.0727811773397772,0.5833333333333334,3
RLO.JO,0.4193548387096774,0.4193548387096774,0.0018129059723423833,0.20073498388251476,0.9090909090909091,0
SBK.JO,0.3870967741935484,0.3870967741935484,0.017654243801541278,0.10085472009042831,0.6181818181818182,1
SHP.JO,0.6129032258064516,0.6129032258064516,0.021019902646446167,0.2708010721928039,0.6601307189542484,2
SLM.JO,0.5161290322580645,0.5161290322580645,0.012231881692677533,0.23773136304361914,0.7619047619047619,0
SOL.JO,0.25806451612903225,0.25806451612903225,0.0009083806207315758,0.04450905944687366,0.9047619047619048,3
VOD.JO,0.4193548387096774,0.4193548387096774,0.032456216574469385,0.10134694477059188,0.5303030303030303,3
