StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
ABG.JO,-88.92364,89.83615,1.0,1.0526246
AGL.JO,-89.92275,89.825134,1.0,1.0380543
AMS.JO,-89.93298,-89.98195,1.0,1.0502161
APN.JO,89.462654,-89.8803,1.0,1.091897
BTI.JO,89.75913,89.74561,1.0,1.0308915
BVT.JO,89.406784,-72.807014,1.0,1.1081216
CLS.JO,-89.8422,89.787735,1.0,1.0964156
CPI.JO,89.97599,89.84829,1.0,1.0287296
DSY.JO,89.3362,-88.15306,1.0,1.0164641
EXX.JO,-89.89138,-89.399925,1.0,1.1220611
FSR.JO,-88.6551,89.02764,1.0,1.190533
GFI.JO,85.911415,89.83736,1.0,1.0642316
GLN.JO,-89.34892,89.541985,1.0,1.1351256
GRT.JO,81.00049,88.47095,4.0,1.3012967
HAR.JO,89.6786,89.44598,1.0,0.9640583
IMP.JO,-89.83433,-89.61382,1.0,1.0428668
INL.JO,88.89658,-88.5224,2.0,1.2224281
INP.JO,88.44436,88.58782,3.0,1.2295133
KIO.JO,-89.93481,-89.07992,1.0,1.0369314
MNP.JO,-89.8442,-89.52619,1.0,0.9945635
MRP.JO,87.822975,-89.86717,1.0,1.063568
MTN.JO,-89.52075,-89.78551,1.0,1.1708076
NED.JO,83.64739,-89.76235,1.0,0.9767291
NPN.JO,-89.97374,-89.9607,1.0,1.0115473
NRP.JO,85.10054,-89.12056,1.0,1.1945431
REM.JO,89.281,-88.63259,1.0,0.9820898
RLO.JO,-82.71465,89.242386,2.0,1.1117339
SBK.JO,-89.4103,-31.40254,1.0,1.0987003
SHP.JO,-88.17081,-89.62865,1.0,1.0767049
SLM.JO,-89.0105,89.04581,2.0,1.0330064
SOL.JO,89.891594,-89.94198,1.0,1.0143502
VOD.JO,-88.13077,-88.92591,1.0,1.144659
ABG.JO,89.48739,89.83615,1.0,1.0525433
AGL.JO,-89.87189,89.8248,1.0,1.0379511
AMS.JO,-89.985695,-89.981964,1.0,1.0501176
APN.JO,-89.78067,-89.880325,1.0,1.0919027
BTI.JO,89.82023,89.74572,1.0,1.0309181
BVT.JO,89.74532,-72.562,1.0,1.1081663
CLS.JO,89.08034,89.78761,1.0,1.0963398
CPI.JO,89.62926,89.84867,1.0,1.0287856
DSY.JO,87.978035,-88.15286,1.0,1.0164416
EXX.JO,-89.91068,-89.402534,1.0,1.1217752
FSR.JO,86.00238,89.02671,1.0,1.1902959
GFI.JO,-89.85421,89.837326,1.0,1.0641375
GLN.JO,-84.64401,89.54161,1.0,1.1347516
GRT.JO,88.259026,88.47194,1.0,1.3017128
HAR.JO,-89.72964,89.445984,1.0,0.9640492
IMP.JO,-89.902626,-89.6143,1.0,1.0427088
INL.JO,88.89658,-88.520195,2.0,1.2227284
INP.JO,88.44436,88.59278,3.0,1.2302444
KIO.JO,-89.9408,-89.08901,1.0,1.0367656
MNP.JO,89.921745,-89.527504,1.0,0.994485
MRP.JO,89.392006,-89.86717,1.0,1.0635564
MTN.JO,-87.578156,-89.78576,1.0,1.170617
NED.JO,89.15991,-89.76231,1.0,0.976735
NPN.JO,-89.993484,-89.96072,1.0,1.011548
NRP.JO,89.31518,-89.12046,1.0,1.194549
REM.JO,-87.1725,-88.63056,1.0,0.98204255
RLO.JO,-82.71465,89.24253,2.0,1.1117599
SBK.JO,88.874664,-34.55788,1.0,1.098551
SHP.JO,89.000084,-89.62853,1.0,1.0767245
SLM.JO,87.311554,89.04822,1.0,1.0332248
SOL.JO,-89.70185,-89.94198,1.0,1.0143726
VOD.JO,89.60454,-88.92611,2.0,1.1446247
ABG.JO,89.71196,89.83621,1.0,1.0525644
AGL.JO,-89.91735,89.82465,1.0,1.0378921
AMS.JO,89.977585,-89.98199,1.0,1.05
APN.JO,89.78316,-89.880394,1.0,1.0918763
BTI.JO,-89.883156,89.74579,1.0,1.030942
BVT.JO,-89.69685,-72.42722,1.0,1.1082081
CLS.JO,89.81099,89.787636,1.0,1.0963242
CPI.JO,89.97853,89.84831,1.0,1.0287884
DSY.JO,89.71997,-88.1513,1.0,1.0165439
EXX.JO,-89.839806,-89.40438,1.0,1.1215295
FSR.JO,88.43511,89.026344,1.0,1.1901777
GFI.JO,-89.199905,89.837265,1.0,1.0640097
GLN.JO,-89.666885,89.54142,1.0,1.1345246
GRT.JO,88.259026,88.47183,1.0,1.3011541
HAR.JO,85.91279,89.44554,1.0,0.9639371
IMP.JO,89.060394,-89.61475,1.0,1.0425316
INL.JO,-82.22266,-88.517136,1.0,1.2231072
INP.JO,63.40004,88.597115,1.0,1.2309039
KIO.JO,-89.910995,-89.095146,1.0,1.036651
MNP.JO,-89.83143,-89.52553,1.0,0.9945623
MRP.JO,89.5387,-89.86715,1.0,1.0635703
