StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
EXX.JO,89.79455,89.139595,1.0,1.0511876
GFI.JO,88.5651,88.60775,1.0,1.065115
NED.JO,0.012125303,89.13713,1.0,1.0511835
APN.JO,89.30078,89.13389,1.0,1.0512415
RLO.JO,88.0791,89.31614,1.0,1.1220012
MTN.JO,-89.27395,89.07656,1.0,1.0516728
REM.JO,89.79591,89.13699,1.0,1.0511241
NPN.JO,-89.978645,89.62418,1.0,1.0435162
KIO.JO,-89.89902,89.16288,1.0,1.0508531
GFI.JO,-88.599655,89.117294,1.0,1.0513983
BVT.JO,-88.43878,88.50537,1.0,1.1053979
KIO.JO,-89.949066,88.14632,1.0,1.065742
BVT.JO,66.43922,81.57022,2.0,1.0614871
RLO.JO,-88.97213,88.914894,1.0,1.0648174
CPI.JO,-89.98006,89.059,1.0,1.0516164
GLN.JO,89.50603,89.498085,1.0,1.1804665
CPI.JO,-89.74292,89.34059,1.0,1.0490385
RLO.JO,88.46333,87.59513,2.0,1.0613503
NED.JO,-89.764,89.04643,2.0,1.051871
DSY.JO,-89.13365,89.07343,1.0,1.051691
GLN.JO,89.66685,89.10054,1.0,1.051498
ABG.JO,-89.8305,87.90883,1.0,1.0655838
IMP.JO,-89.85885,89.086395,1.0,1.0516725
AGL.JO,89.96802,89.04156,1.0,1.0519893
GFI.JO,89.84528,89.61537,1.0,1.1664544
INL.JO,88.6676,89.104355,1.0,1.0514779
MTN.JO,-87.79523,87.65855,1.0,1.0710793
NED.JO,89.84065,88.868416,1.0,1.064522
IMP.JO,-85.59989,89.0841,1.0,1.05169
SHP.JO,-89.431755,89.11494,1.0,1.0514185
AGL.JO,89.793915,89.03661,1.0,1.0519187
MNP.JO,89.56586,89.09351,1.0,1.0515939
SBK.JO,89.89546,89.163246,1.0,1.0510718
SBK.JO,-89.61571,89.55557,1.0,1.1555502
CPI.JO,-88.97532,89.21523,1.0,1.0500474
RLO.JO,-86.6134,84.60419,1.0,1.0666714
SHP.JO,-88.527084,89.11554,1.0,1.0513686
AMS.JO,-89.909164,87.48973,1.0,1.0652058
INP.JO,-89.309326,89.066696,1.0,1.0517706
VOD.JO,89.7579,88.54073,1.0,1.0652732
DSY.JO,87.13613,89.100494,2.0,1.0514504
GFI.JO,89.8878,89.16261,1.0,1.0511009
DSY.JO,-87.796135,89.145584,1.0,1.051113
KIO.JO,-89.93947,89.292114,1.0,1.0490772
SBK.JO,-88.847275,88.84158,1.0,1.1145912
CPI.JO,-89.83607,88.898476,1.0,1.0528935
CLS.JO,-89.87285,88.77316,1.0,1.0658561
GLN.JO,86.98605,84.20829,1.0,1.0663042
NPN.JO,-89.99386,89.626564,1.0,1.0481062
BVT.JO,89.91897,89.120735,1.0,1.0513637
INL.JO,-86.01005,87.68926,1.0,1.0613579
RLO.JO,82.84049,89.08247,1.0,1.11719
APN.JO,89.859436,89.04405,1.0,1.076915
IMP.JO,0.012125303,89.75187,1.0,1.1646893
MTN.JO,87.66,89.11563,2.0,1.051465
MRP.JO,-89.80839,89.1496,1.0,1.0511085
AGL.JO,0.012125303,86.61746,1.0,1.0658406
BVT.JO,89.475044,88.90311,1.0,1.0652406
CPI.JO,89.86501,88.9494,1.0,1.0523373
ABG.JO,-89.79029,89.035324,1.0,1.0520301
REM.JO,-89.528336,89.09023,1.0,1.0515907
INL.JO,89.85299,89.126015,1.0,1.0513527
GFI.JO,89.23435,88.498795,1.0,1.1075773
AMS.JO,89.97504,89.02249,1.0,1.0524803
GLN.JO,89.46451,88.52981,1.0,1.0652567
MNP.JO,-89.56951,89.08065,1.0,1.0517879
INL.JO,-88.428215,82.80564,2.0,1.0612788
AGL.JO,-89.96589,89.18236,1.0,1.0506358
NRP.JO,89.70102,88.89548,1.0,1.0651197
BTI.JO,-89.00991,89.11393,1.0,1.0515376
AMS.JO,89.93301,89.645966,1.0,1.0493929
EXX.JO,-89.415924,89.60251,1.0,1.1366698
EXX.JO,89.955215,89.07006,1.0,1.0518477
BTI.JO,-89.87628,87.02747,1.0,1.0706722
MNP.JO,-89.985115,89.24957,1.0,1.0501232
SOL.JO,-89.9726,88.1153,1.0,1.0671015
APN.JO,-89.55917,89.06909,1.0,1.0517304
IMP.JO,-89.401596,89.12212,1.0,1.051286
RLO.JO,88.085815,88.91483,1.0,1.0649225
INL.JO,-86.97139,89.0948,1.0,1.0515369
CLS.JO,-89.92738,89.11765,1.0,1.0512599
INP.JO,-89.23064,88.564255,1.0,1.0651969
EXX.JO,-89.9295,89.072975,1.0,1.0518192
NRP.JO,-88.80425,89.80238,1.0,1.2557156
INP.JO,89.49727,89.10159,1.0,1.0515513
SBK.JO,89.92911,89.23238,1.0,1.050129
NPN.JO,-89.98313,89.39229,1.0,1.0487107
MRP.JO,-89.95368,89.08265,1.0,1.051615
APN.JO,89.879745,89.18122,1.0,1.0509361
AMS.JO,89.915695,89.03016,1.0,1.0520163
AMS.JO,-89.787056,88.68434,1.0,1.053795
HAR.JO,-89.72427,89.105095,1.0,1.0514199
SOL.JO,-89.80271,89.05628,1.0,1.0520575
REM.JO,-89.576546,89.058556,1.0,1.0518998
GFI.JO,89.64332,-82.62869,1.0,1.091616
APN.JO,89.934135,89.63508,1.0,1.1146514
CLS.JO,-88.804,88.9702,1.0,1.076097
DSY.JO,89.48805,89.08753,1.0,1.0516012
SBK.JO,89.84665,89.05958,1.0,1.0518386
MRP.JO,89.794624,88.36295,1.0,1.0668159
ABG.JO,89.54275,89.01532,1.0,1.076598
SLM.JO,89.32559,88.0545,1.0,1.0661399
MTN.JO,89.10295,89.102554,1.0,1.0514553
INL.JO,-89.72811,89.089,1.0,1.0516118
KIO.JO,-89.720726,89.15091,1.0,1.0511013
EXX.JO,-89.534584,87.24495,1.0,1.0655384
APN.JO,-89.32547,89.091125,1.0,1.0515859
NPN.JO,89.986176,89.32137,1.0,1.0492252
REM.JO,89.83063,89.14136,1.0,1.0511612
HAR.JO,86.816826,89.53433,1.0,1.1048092
GFI.JO,-89.809395,89.10757,1.0,1.0514085
INL.JO,-86.97907,88.98066,1.0,1.107902
REM.JO,88.76338,89.12229,1.0,1.0514964
CPI.JO,-89.71309,89.26262,1.0,1.0502928
GFI.JO,-88.95594,89.09975,1.0,1.0515023
ABG.JO,89.39519,89.04701,1.0,1.0518894
RLO.JO,-89.60784,88.80578,1.0,1.0957217
BVT.JO,89.88629,89.1381,1.0,1.051225
GFI.JO,89.20361,88.89287,1.0,1.0775012
HAR.JO,89.858826,88.64917,1.0,1.0649803
GFI.JO,-87.55766,88.99952,2.0,1.0769039
INP.JO,-78.12807,89.12173,1.0,1.0513234
NRP.JO,89.45641,89.09818,1.0,1.0515105
GFI.JO,-89.469055,89.05442,1.0,1.0517119
ABG.JO,89.873985,89.09664,1.0,1.0515211
MTN.JO,89.69064,89.06932,1.0,1.051687
DSY.JO,89.76984,89.1143,1.0,1.0513486
NRP.JO,89.720406,89.10268,1.0,1.0514737
DSY.JO,-89.88997,89.130775,1.0,1.0513076
SHP.JO,89.69975,89.13915,1.0,1.0512927
MTN.JO,89.68488,89.73452,1.0,1.173778
GFI.JO,89.54872,89.202934,1.0,1.0502454
NRP.JO,89.622795,87.94029,1.0,1.0657989
BVT.JO,-89.86108,89.1223,1.0,1.0513704
MNP.JO,89.90424,89.08538,1.0,1.051653
GFI.JO,89.49643,89.08913,1.0,1.0515802
SHP.JO,-89.83139,89.12865,1.0,1.0512518
CPI.JO,81.85658,89.128784,1.0,1.0511416
GRT.JO,63.238506,89.08519,2.0,1.3014367
ABG.JO,89.520515,89.03328,1.0,1.0520085
FSR.JO,88.5476,89.788536,2.0,1.1607246
KIO.JO,-89.743065,88.99676,1.0,1.0775504
INP.JO,-89.87805,89.11464,1.0,1.0514369
MTN.JO,89.8018,88.891304,1.0,1.0652884
BVT.JO,-87.39097,80.30322,1.0,1.061733
APN.JO,89.69355,88.85642,1.0,1.0651649
BTI.JO,89.867874,89.21372,1.0,1.0509667
DSY.JO,88.78079,89.06606,1.0,1.0518898
SLM.JO,71.54725,88.53917,1.0,1.0650402
AGL.JO,-89.86196,89.59491,1.0,1.117606
GLN.JO,-86.985985,89.50644,1.0,1.06349
NRP.JO,-89.671455,84.293945,1.0,1.0664859
NPN.JO,89.972374,89.58983,1.0,1.0503458
AGL.JO,-89.74103,89.5711,1.0,1.1373541
AGL.JO,-89.931015,89.2023,1.0,1.0511407
BTI.JO,-89.97152,89.11067,1.0,1.0514941
MNP.JO,-89.822525,89.152145,2.0,1.0514019
SBK.JO,-89.783264,89.09597,1.0,1.0515697
BVT.JO,89.83315,88.97438,1.0,1.0658779
SHP.JO,88.526695,89.089905,1.0,1.0515037
APN.JO,89.90262,78.13466,1.0,1.0661402
GRT.JO,87.38948,89.84311,1.0,1.2660747
INL.JO,89.20378,89.476906,1.0,1.1345509
ABG.JO,89.91667,89.09241,1.0,1.0516038
SBK.JO,-80.493744,88.94057,1.0,1.064729
MNP.JO,-87.26068,89.062706,1.0,1.0517668
GFI.JO,-89.92051,89.07754,1.0,1.0514972
FSR.JO,89.34067,89.101845,1.0,1.0514872
ABG.JO,89.884735,89.76147,1.0,1.1541463
ABG.JO,89.73203,89.08778,1.0,1.051637
MRP.JO,0.012125303,89.11583,1.0,1.0513527
INP.JO,89.20471,89.77892,1.0,1.2448646
BTI.JO,89.97178,89.34312,1.0,1.0489981
REM.JO,88.72856,87.67046,1.0,1.0709745
KIO.JO,-89.975624,88.70187,1.0,1.065693
AGL.JO,-89.98316,88.99732,1.0,1.0521673
EXX.JO,-89.87379,89.01469,1.0,1.0520781
SHP.JO,89.81102,89.144356,1.0,1.0510725
HAR.JO,89.01121,87.681694,1.0,1.061363
BTI.JO,0.012125303,89.075935,2.0,1.051975
EXX.JO,89.06889,-84.6489,1.0,1.0906552
AMS.JO,89.93604,88.61302,1.0,1.0611314
RLO.JO,-88.89787,87.60694,1.0,1.0613621
INL.JO,-74.94788,84.001465,2.0,1.0664665
GLN.JO,89.41529,89.1197,1.0,1.0513384
MTN.JO,89.795166,89.10193,2.0,1.0515158
SLM.JO,89.072174,83.62127,1.0,1.0672723
MNP.JO,-89.908775,89.013885,1.0,1.0522368
GLN.JO,89.707664,87.75152,1.0,1.0611229
IMP.JO,88.9751,89.46801,1.0,1.0637174
SLM.JO,89.46711,89.12727,1.0,1.105349
MTN.JO,88.69657,89.07428,1.0,1.0516596
RLO.JO,89.589584,84.951256,1.0,1.0608829
GRT.JO,-78.67459,89.5313,2.0,1.4557046
REM.JO,-89.60751,89.50873,1.0,1.0636754
FSR.JO,-89.06028,89.0918,1.0,1.0515603
SHP.JO,-89.878494,89.15572,1.0,1.0510224
NRP.JO,89.21326,89.098076,1.0,1.0515188
GFI.JO,-89.86321,89.24862,1.0,1.0501872
SOL.JO,-89.9232,89.084145,1.0,1.0513048
ABG.JO,-89.574104,88.95665,1.0,1.0651898
EXX.JO,89.700966,89.061295,1.0,1.0517366
MNP.JO,-83.51774,89.15927,1.0,1.050949
KIO.JO,0.012125303,88.94874,1.0,1.0527366
CPI.JO,89.977104,88.922646,1.0,1.0527132
BTI.JO,-89.86653,87.972855,1.0,1.0618285
CLS.JO,89.816734,89.122185,1.0,1.0512853
NPN.JO,-89.98792,89.87199,1.0,1.0438664
INP.JO,-88.91882,89.63229,1.0,1.1781342
GRT.JO,85.21997,89.53676,2.0,1.1101933
NPN.JO,89.971344,89.8949,1.0,1.0282323
GRT.JO,81.11734,89.14216,5.0,1.1336025
ABG.JO,-89.7096,88.93793,1.0,1.0642635
ABG.JO,-89.84907,89.137505,1.0,1.0512562
INL.JO,-88.02392,89.14301,1.0,1.0510995
MNP.JO,89.813965,89.16002,1.0,1.050974
APN.JO,-89.584435,89.16454,1.0,1.0511055
BVT.JO,89.93176,89.49244,1.0,1.0651702
GFI.JO,89.79205,89.11121,1.0,1.0512592
MNP.JO,89.93431,89.05272,1.0,1.0518837
IMP.JO,89.792366,88.90937,1.0,1.0639375
AGL.JO,-89.640945,88.949486,1.0,1.065249
NRP.JO,89.24313,87.87963,1.0,1.0713246
GRT.JO,82.34246,89.50342,2.0,1.0635186
GFI.JO,-89.89653,88.381424,1.0,1.0610178
APN.JO,89.60749,89.05324,1.0,1.0518551
MNP.JO,-89.908455,89.070366,1.0,1.0518074
ABG.JO,89.76963,89.499695,1.0,1.0631764
HAR.JO,-89.81808,89.09284,1.0,1.0515573
BTI.JO,-89.95331,88.9833,1.0,1.0522915
MTN.JO,89.64165,89.128365,1.0,1.0511838
NED.JO,-89.720184,88.98262,1.0,1.0776352
MNP.JO,89.79811,89.11299,1.0,1.0515112
ABG.JO,-89.78288,88.06434,1.0,1.0655452
NED.JO,-89.66673,89.08914,1.0,1.0517235
RLO.JO,89.2814,83.15273,1.0,1.0611594
GFI.JO,-88.40634,89.07987,1.0,1.0516697
GFI.JO,89.39551,89.12063,1.0,1.051339
SLM.JO,-87.387794,88.95229,1.0,1.0651734
BVT.JO,89.74836,89.119965,1.0,1.0513629
AMS.JO,-89.42517,89.00053,2.0,1.0522808
BTI.JO,89.942024,89.07201,1.0,1.0517104
GFI.JO,89.291405,89.7667,1.0,1.1553401
NPN.JO,-89.95052,89.20706,1.0,1.0508108
ABG.JO,-89.70159,88.5129,1.0,1.0652277
VOD.JO,89.64287,89.50074,1.0,1.0633223
HAR.JO,-88.02303,89.10723,1.0,1.0514531
BVT.JO,88.75821,88.55234,2.0,1.0649633
SOL.JO,-89.93473,88.68839,1.0,1.0664629
BTI.JO,89.95411,88.97736,1.0,1.0526596
NED.JO,-89.89762,87.8241,1.0,1.0613558
BVT.JO,-89.797035,89.06781,1.0,1.051711
IMP.JO,89.62696,87.63805,1.0,1.0614412
GFI.JO,88.20659,88.6153,1.0,1.0647303
AGL.JO,89.94758,89.15245,1.0,1.0509421
NPN.JO,89.9502,89.201836,1.0,1.0508198
HAR.JO,-89.469154,87.64783,1.0,1.071245
IMP.JO,86.81168,89.50808,1.0,1.0635699
CLS.JO,-89.885254,89.132965,1.0,1.0511576
GRT.JO,-88.35442,88.42955,1.0,1.0813366
EXX.JO,89.75476,89.095184,1.0,1.0516088
NED.JO,-87.87076,88.34449,1.0,1.0661147
MTN.JO,-89.69494,89.09357,1.0,1.0515217
CPI.JO,89.96844,88.7993,1.0,1.0526167
REM.JO,89.77066,89.079544,1.0,1.0517012
HAR.JO,-89.45931,89.091705,1.0,1.05152
NED.JO,-89.83879,89.03494,1.0,1.0518856
INP.JO,-89.414,89.59947,1.0,1.1250936
ABG.JO,-89.69395,89.07043,1.0,1.0517966
AMS.JO,-89.81149,89.20377,1.0,1.0506232
MTN.JO,-89.839165,89.12154,1.0,1.0513785
MTN.JO,89.087265,89.10753,1.0,1.0513909
BTI.JO,89.89875,89.17795,1.0,1.0509113
AMS.JO,-89.87476,89.34846,1.0,1.0486991
GLN.JO,-86.423706,88.05521,1.0,1.0659679
SLM.JO,-87.94472,89.11415,1.0,1.0513685
APN.JO,-89.63246,89.10261,1.0,1.0514929
RLO.JO,-88.93735,88.14961,1.0,1.0661038
APN.JO,-89.74411,89.10319,1.0,1.0514774
AMS.JO,89.88249,87.13701,1.0,1.0620127
FSR.JO,86.80572,89.08868,1.0,1.1170603
RLO.JO,89.86463,84.8881,1.0,1.0662938
BTI.JO,-89.854706,89.18891,1.0,1.0506091
GFI.JO,89.72298,89.11887,1.0,1.0513396
KIO.JO,-88.55519,89.16716,1.0,1.0767711
AMS.JO,89.97208,89.11915,1.0,1.0514691
GFI.JO,88.148285,89.09682,1.0,1.0514848
GLN.JO,-87.510254,89.74132,1.0,1.0957181
SBK.JO,88.01721,89.07552,1.0,1.0515782
IMP.JO,89.8742,89.043625,1.0,1.0518472
NED.JO,-89.71186,84.826195,1.0,1.060745
RLO.JO,-88.110954,89.25999,2.0,1.1122255
IMP.JO,-88.95557,88.57246,1.0,1.0649847
VOD.JO,-89.784645,89.12307,1.0,1.0512823
EXX.JO,-89.75367,89.1544,1.0,1.0509846
NRP.JO,87.510056,87.9512,1.0,1.0659255
AGL.JO,89.78162,89.07583,1.0,1.0519519
VOD.JO,88.85136,87.69466,1.0,1.0615844
AMS.JO,89.98006,89.13789,1.0,1.0513138
ABG.JO,89.71418,88.52605,1.0,1.0649537
HAR.JO,-88.85333,89.01803,1.0,1.0769509
KIO.JO,89.737976,89.25173,1.0,1.0500779
DSY.JO,-89.77436,88.87017,1.0,1.0646795
RLO.JO,-89.42009,89.1147,1.0,1.0513885
SLM.JO,0.012125303,89.10992,1.0,1.0514381
INP.JO,-89.75386,89.08693,1.0,1.051595
FSR.JO,89.0869,89.1055,1.0,1.0514731
GLN.JO,-89.64408,89.10402,1.0,1.0514607
INP.JO,87.320694,89.25384,1.0,1.150342
RLO.JO,-81.86662,89.07114,1.0,1.0989474
GLN.JO,88.264114,87.627075,1.0,1.0613734
MNP.JO,89.59622,89.10281,1.0,1.0515621
CPI.JO,89.93962,89.20023,1.0,1.0512618
NRP.JO,-88.9769,89.08503,1.0,1.0515778
GFI.JO,89.77055,89.06524,1.0,1.0518811
CLS.JO,89.4786,87.886734,1.0,1.0618024
AMS.JO,-89.899345,89.54034,1.0,1.0443659
MRP.JO,-89.88502,89.01242,1.0,1.052009
AGL.JO,89.72393,88.60454,1.0,1.0696398
REM.JO,89.825134,89.0907,1.0,1.051666
REM.JO,89.314026,88.92794,1.0,1.0649047
MTN.JO,-89.213715,89.11079,1.0,1.0514312
MRP.JO,-89.70711,11.247662,1.0,1.0623085
INL.JO,-89.513145,89.07577,1.0,1.1174073
HAR.JO,-89.75821,89.15817,1.0,1.0512303
INL.JO,-89.60722,84.01053,1.0,1.0663193
MRP.JO,89.5893,89.07384,1.0,1.0518899
HAR.JO,-89.32526,89.202515,1.0,1.200021
GFI.JO,89.91544,87.41395,1.0,1.0701027
KIO.JO,89.97349,88.479195,1.0,1.0626903
KIO.JO,89.921745,89.26994,1.0,1.0508056
NRP.JO,-88.69798,87.665535,1.0,1.0613151
AMS.JO,89.915695,89.213264,1.0,1.10929
CLS.JO,89.32094,89.64206,2.0,1.1035337
MRP.JO,-89.865105,89.05281,1.0,1.0519238
BVT.JO,-89.649475,89.54525,1.0,1.1562366
MRP.JO,89.900856,89.09956,1.0,1.0515041
SHP.JO,-89.739395,89.51263,1.0,1.0632273
NRP.JO,-89.51028,89.09774,1.0,1.0515362
SHP.JO,89.58167,83.01111,1.0,1.0682395
NPN.JO,-89.99715,89.68712,1.0,1.0454096
AGL.JO,-89.90229,-58.161995,1.0,1.0678952
AMS.JO,89.99013,89.242615,1.0,1.049719
RLO.JO,87.05037,89.10774,2.0,1.0514549
BVT.JO,88.8051,89.075516,2.0,1.0517133
RLO.JO,88.82441,89.398796,1.0,1.090634
MTN.JO,89.80814,89.0266,1.0,1.0520878
HAR.JO,89.235504,89.085785,1.0,1.0516824
