StockID,Actual_Slope_Angle,Predicted_Slope_Angle,Actual_Duration,Predicted_Duration
AGL.JO,-89.714966,-89.81875,1.0,1.0637789
BTI.JO,89.861694,-89.80652,1.0,1.0395267
SHP.JO,-0.00023032736,-89.785416,1.0,1.0402689
BVT.JO,89.819664,-89.71323,1.0,1.1251595
CPI.JO,-89.84699,-89.73261,1.0,1.0416127
MNP.JO,-89.96454,-89.819786,1.0,1.0389712
FSR.JO,82.19526,-89.64321,1.0,1.2157077
GFI.JO,88.95716,-89.782974,1.0,1.0403454
SBK.JO,-89.38526,-89.77336,1.0,1.0406308
GLN.JO,89.58479,-89.788,1.0,1.0504323
GLN.JO,-89.14902,-89.78308,1.0,1.040342
FSR.JO,-89.63148,-89.79298,1.0,1.0502269
INL.JO,86.833206,-89.79031,1.0,1.04011
APN.JO,88.22725,-89.79207,1.0,1.0400512
NPN.JO,-89.991104,-89.88662,1.0,1.0341946
EXX.JO,-89.59986,-89.77692,1.0,1.0405279
VOD.JO,89.38597,-89.78736,1.0,1.0402067
FSR.JO,-88.85288,-89.83727,1.0,1.1047344
IMP.JO,81.00364,-89.81022,1.0,1.065156
APN.JO,89.9281,-89.73672,1.0,1.1247053
KIO.JO,-89.97198,-89.80852,1.0,1.039448
FSR.JO,-86.984505,-89.7932,2.0,1.0400127
SBK.JO,89.896515,-89.80487,1.0,1.0395904
NRP.JO,-89.195625,-89.7815,1.0,1.0403907
DSY.JO,89.30061,-89.82031,1.0,1.104663
MRP.JO,-89.460724,-89.78006,1.0,1.0404346
VOD.JO,89.34778,79.17444,1.0,1.2626457
SLM.JO,89.77157,-89.747,1.0,1.0413021
GLN.JO,87.709145,-89.48617,1.0,1.1743002
KIO.JO,-89.28128,-89.64697,1.0,1.0429373
SOL.JO,-88.74348,-89.78684,1.0,1.0402235
EXX.JO,-83.82051,-89.78488,1.0,1.0402857
KIO.JO,-89.91701,-89.81728,1.0,1.039082
IMP.JO,-89.698166,-89.79542,1.0,1.050403
CPI.JO,-89.95058,-89.740654,1.0,1.0414432
BVT.JO,89.928505,-89.75077,1.0,1.0412147
NPN.JO,-89.95585,-89.63758,1.0,1.0430444
ABG.JO,-88.89182,-89.780396,2.0,1.0404245
VOD.JO,88.48877,-89.70048,1.0,1.1253761
GFI.JO,89.04855,-89.78633,1.0,1.0402399
SBK.JO,-89.326965,-89.78338,1.0,1.0403329
AGL.JO,-89.95555,-89.82729,1.0,1.0652174
ABG.JO,-89.160484,-89.788574,1.0,1.0401672
MTN.JO,-89.48094,-89.77729,1.0,1.0405172
IMP.JO,87.9733,-89.7796,1.0,1.0505064
